featured,covid-19,anonymous,date,time,headline,role,location,status,contract,years,helpful,pros,cons,advice_to_mgmt,main_rating,work_life_balance,culture_and_values,diversity_inclusion,career_opportunities,comp_and_benefits,senior_management,recommends,outlook,CEO_approval,response_date,response_role,response
0,0,1,22 August 2016,01:23:41,recommand,,Hong Kong,"22 August 2016
""recommand""
5.0
★★★★★
Current Employee ",part-time, less than a year,0,working with smartest people,"no cons, everything seems perfect.",good. keep it please,5.0,5.0,5.0,,5.0,5.0,5.0,,,,,,
0,0,0,7 October 2013,03:51:05,"Software Development Engineering, Full Time", Software Development Engineer,Hong Kong,"7 October 2013
Helpful (10)
""Software Development Engineering, Full Time""
5.0
★★★★★
Current Employee ",full-time,,10,"A good salary. Besides, it is a financial company emphasizing on technology. Work rotation between New York, London, Hong Kong is very good.",The only cons I can give may be that its interview is a little hard and it can provide much exposure.,,5.0,4.0,4.0,,5.0,5.0,4.0,,,,,,
0,0,0,13 May 2013,01:23:28,Cool company with a lot of smart guys, Junior Trader,Central,"13 May 2013
Helpful (8)
""Cool company with a lot of smart guys""
5.0
★★★★★
Current Employee ",full-time, less than a year,8,working with a lot of smart people,Ocaml...working hour is a bit long in HK office,,5.0,4.0,5.0,,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO,,,
0,0,0,14 January 2021,01:56:08,Time spent, Equity Trader,"London, England","14 January 2021
""Time spent""
4.0
★★★★★
Current Employee ",full-time, more than 3 years,0,Interactive teaching and interactive learning amongt everyone,Over competitive at times but still fun,Come join,4.0,4.0,5.0,5.0,5.0,5.0,4.0,Recommends,Positive Outlook,Approves of CEO,,,
0,0,0,2 January 2021,20:18:41,i would recommend, Logistics Coordinator,"Kirkland, WA","2 January 2021
""i would recommend""
4.0
★★★★★
Former Employee ",full-time,,0,good team and nice salary,a lot of work and stress,,4.0,,,,,,,,,,,,
0,0,0,30 December 2020,11:29:45,ok place for temps, Temporary Employee,"Miami, FL","30 December 2020
""ok place for temps""
4.0
★★★★★
Former Employee ",part-time, less than a year,0,it is good to get experience here,a good temp for bills,no at this time,4.0,3.0,3.0,3.0,4.0,4.0,3.0,Recommends,Positive Outlook,No Opinion of CEO,,,
0,0,0,24 December 2020,14:56:16,Good, Delivery Driver,,"24 December 2020
""Good""
4.0
★★★★★
Former Employee ",full-time,,0,good pay and paid weekly,Long shifts sometimes and need more benefits,,4.0,,,,3.0,4.0,,,,,,,
0,0,0,7 December 2020,20:11:19,God, Analista Junior A,"Del Sur, CA","7 December 2020
""God""
5.0
★★★★★
Former Employee ",full-time, more than a year,0,"Good 
Environmental
Space 
Privacy 
Pay was high","Boring
Not much coke 
A lot of work",,5.0,5.0,5.0,5.0,4.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO,,,
0,0,1,4 January 2021,23:45:31,Cro,,Ambattūr,"4 January 2021
""Cro""
1.0
★★★★★
Current Employee ",full-time, less than a year,0,We can wear Casuals daily and no free code,Full target pressure and long working hours,Teàm leads are making partiality,1.0,1.0,2.0,1.0,1.0,1.0,1.0,Doesn't Recommend,Negative Outlook,Disapproves of CEO,,,
0,0,0,12 December 2020,12:32:38,Challenging, Quantitative Trader,"New York, NY","12 December 2020
""Challenging""
4.0
★★★★★
Former Employee ",full-time, less than a year,0,Challenging Collaborative Hard Work Fun Interesting,Tough Work Bad Environment High Pay,None,4.0,,,,,,,,,,,,
0,0,0,20 November 2020,14:42:58,Great place to work, Trader,"New York, NY","20 November 2020
""Great place to work""
5.0
★★★★★
Current Employee ",full-time, more than 5 years,0,"interesting work, collaborate culture, high pay, very reasonable management","no lunch break, hard to stand out among so many smart people",,5.0,5.0,5.0,4.0,4.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO,,,
0,0,0,19 November 2020,16:30:43,"Amazing Culture, Brightest People", Operations Analyst,,"19 November 2020
""Amazing Culture, Brightest People""
5.0
★★★★★
Former Employee ",full-time,,0,"Amazing culture, brightest minds in the industry, ever-challenging",Very very hard to leave,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO,,,
0,0,1,20 October 2020,14:10:48,"Awesome, fast moving environment",,"New York, NY","20 October 2020
Helpful (3)
""Awesome, fast moving environment""
5.0
★★★★★
Current Employee ",full-time, less than a year,3,"I worked at Jane Street for a three month trial as an experienced hire, doing research on a trading desk.

Jane Street is an awesome firm. It's the most exciting environment I've worked in — being on the trading floor feels like you're at the nexus of markets. And looking ahead, I expect the business will continue its trajectory given the growth of ETFs and the electronification of new markets, 

The talent density is very high — people are all extremely sharp. It's more diverse than most finance firms. The hierarchy is remarkably flat — everyone sits together — it's not obvious who is senior or completely new. There's a decent amount of open discussion of proprietary ideas (more than most HFs, less than most tech firms). Progression seems to be extremely fast for those who contribute.

The working day is short and intense. Almost everyone is in by 9 and most people have left by 6. During the day, people are focused — no one is reading long form journalism online, or popping out for lunch.

For those who care about this sort of thing: there's every type of lunch / snacks / drinks you could want. I ate way too many mini-toblerones.","A lot of the technology is build in-house. That's both good and bad — e.g. the code review system is a novel take on how code review should work, but it's also slow and primarily in emacs.

The firm moves quickly. People are a bit less reflective or conceptual than at other places — the focus is on doing good work and moving on. That's also consistent with the sort of work you do — there's less careful methodical research than at, say, a quant fund. (That said, there are cool tech talks / regular speakers, so it's not as narrow as that might sound.)

Feedback & accountability is stronger within teams than across departments.

Partly because there's limited structure, I got the sense there's a small group on each desk that drives the business forward, and it's not completely clear whether you'll be part of that group or not. This is more of a concern for experienced hires than those out of college.",Ration the toblerones,5.0,5.0,5.0,4.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO,,,
0,0,0,26 October 2020,11:09:52,nice place to work, Customer Service Representative,"London, England","26 October 2020
""nice place to work""
5.0
★★★★★
Current Employee ",part-time,,0,great to work and nice,small office space for its workers,,5.0,,,,,,,,,,,,
