company_name,company_url
GitHub,"https://www.glassdoor.com.hk/Overview/Working-at-GitHub-EI_IE671945.11,17.htm"
Jane Street,"https://www.glassdoor.com.hk/Overview/Working-at-Jane-Street-EI_IE255549.11,22.htm"
Cherry Creek Mortgage,"https://www.glassdoor.com.hk/Overview/Working-at-Cherry-Creek-Mortgage-EI_IE559597.11,32.htm"
University of Hong Kong,"https://www.glassdoor.com.hk/Overview/Working-at-University-of-Hong-Kong-EI_IE302067.11,34.htm"
Hong Kong University of Science,"https://www.glassdoor.com.hk/Overview/Working-at-Hong-Kong-University-of-Science-EI_IE41277.11,42.htm"
CDC Software (Hong Kong),"https://www.glassdoor.com.hk/Overview/Working-at-CDC-Software-Hong-Kong-EI_IE140234.11,33.htm"
Chinese University of Hong Kong,"https://www.glassdoor.com.hk/Overview/Working-at-Chinese-University-of-Hong-Kong-EI_IE296337.11,42.htm"
Bank Of China (Hong Kong),"https://www.glassdoor.com.hk/Overview/Working-at-Bank-Of-China-Hong-Kong-EI_IE16013.11,34.htm"
City University of Hong Kong,"https://www.glassdoor.com.hk/Overview/Working-at-City-University-of-Hong-Kong-EI_IE41279.11,39.htm"
Hong Kong Jockey Club,"https://www.glassdoor.com.hk/Overview/Working-at-Hong-Kong-Jockey-Club-EI_IE307048.11,32.htm"
The Education University of Hong Kong,"https://www.glassdoor.com.hk/Overview/Working-at-The-Education-University-of-Hong-Kong-EI_IE1621309.11,48.htm"
Hong Kong Productivity Council,"https://www.glassdoor.com.hk/Overview/Working-at-Hong-Kong-Productivity-Council-EI_IE965971.11,41.htm"
AME Group (Hong Kong),"https://www.glassdoor.com.hk/Overview/Working-at-AME-Group-Hong-Kong-EI_IE785616.11,30.htm"
Airport Authority Hong Kong,"https://www.glassdoor.com.hk/Overview/Working-at-Airport-Authority-Hong-Kong-EI_IE240422.11,38.htm"
Hong Kong Baptist University,"https://www.glassdoor.com.hk/Overview/Working-at-Hong-Kong-Baptist-University-EI_IE746019.11,39.htm"
CLP Power Hong Kong,"https://www.glassdoor.com.hk/Overview/Working-at-CLP-Power-Hong-Kong-EI_IE968369.11,30.htm"
Hong Kong Airlines,"https://www.glassdoor.com.hk/Overview/Working-at-Hong-Kong-Airlines-EI_IE326146.11,29.htm"
Hong Kong Applied Science and Technology Research Institute,"https://www.glassdoor.com.hk/Overview/Working-at-Hong-Kong-Applied-Science-and-Technology-Research-Institute-EI_IE251339.11,70.htm"
Hong Kong Hospital Authority,"https://www.glassdoor.com.hk/Overview/Working-at-Hong-Kong-Hospital-Authority-EI_IE352631.11,39.htm"
Hong Kong Exchanges,"https://www.glassdoor.com.hk/Overview/Working-at-Hong-Kong-Exchanges-EI_IE41081.11,30.htm"
Hong Kong Monetary Authority,"https://www.glassdoor.com.hk/Overview/Working-at-Hong-Kong-Monetary-Authority-EI_IE365912.11,39.htm"
Hong Kong Polytechnic,"https://www.glassdoor.com.hk/Overview/Working-at-Hong-Kong-Polytechnic-EI_IE41274.11,32.htm"
Hong Kong Police Force,"https://www.glassdoor.com.hk/Overview/Working-at-Hong-Kong-Police-Force-EI_IE1171720.11,33.htm"
