featured,covid-19,anonymous,date,time,headline,role,location,status,contract,years,helpful,pros,cons,advice_to_mgmt,main_rating,work_life_balance,culture_and_values,diversity_inclusion,career_opportunities,comp_and_benefits,senior_management,recommends,outlook,CEO_approval,response_date,response_role,response
0,0,0,11 January 2021,06:07:58,No complaints, Research Manager,Hong Kong,"11 January 2021
""No complaints""
5.0
★★★★★
Current Employee ",full-time, more than a year,0,"-Career opportunities 
-Competitive compensation 
-Great management 
-Engaged work force 
-Innovative company 
-Global reach",I could nitpick but I personally don’t have any cons.,,5.0,,,,,,,Recommends,Positive Outlook,,,,
0,0,0,7 January 2021,05:37:08,Great for experience, Sales Representative,Hong Kong,"7 January 2021
""Great for experience""
5.0
★★★★★
Former Employee ",full-time, more than 3 years,0,A good job for gaining experience. Outside of your typical duties you’ll have limited exposure to clients. The culture is focused on pushing workers to perform at a high level. We’re well supported by all levels of management. Drinking beers on Friday helps to build camaraderie with co-workers.,The long hours are the biggest con.,,5.0,,,,,,,Recommends,Positive Outlook,,,,
0,1,0,"22 December 2020
COVID-19",02:12:20,Not perfect but striving to do better, Business Analyst,Central,,full-time, more than a year,0,"Not a perfect company by any means. We’ve had our struggles with morale and turnover. The coronavirus hasn’t made these issues any easier. However, AME Group has proven many times over that they’re willing to work on their faults and support their staff to provide a work environment that’s dedicated to their personal and professional growth. Though not perfect, their hearts are in the right place and that’s all that matters to me.",You can look at the other reviews if you want an idea of the cons we’ve struggled with. I see improvements constantly and can only hope and pray that we continue to strive to do better as a company.,,4.0,,,,,,,Recommends,Positive Outlook,,,,
0,0,0,11 December 2020,02:42:16,Employees always come first, Sales Associate,"Kwun Tong, Kowloon City","11 December 2020
""Employees always come first""
5.0
★★★★★
Former Employee ",full-time, more than a year,0,Employees are treated with the respect and dignity they’re due. Being part of a research team is often one of the best ways to learn because younger engineers are paired with senior consultants who provide mentorship and guidance. It’s a well-structured operation that can help you to get your career off the ground.,Pay isn’t the best. No one would complain if the idea of pay raises were floated out there however.,,5.0,,,,,,,Recommends,Positive Outlook,,,,
0,0,0,1 December 2020,02:37:04,Strong management at the top, Business Analyst,Hong Kong,"1 December 2020
""Strong management at the top""
5.0
★★★★★
Current Employee ",full-time, more than a year,0,The management are forward facing innovative individuals who are constantly striving towards excellence. There are opportunities to build a career if that’s something you truly want. Management are always on the lookout for the most dedicated employees when it comes time to promote someone. Nothing is given to you. You have to work for what you want.,Communication across offices has its challenges.,You don’t need me to tell you what you need to work on. Focus on your weak points and make the necessary changes.,5.0,,,,,,,Recommends,Positive Outlook,,,,
0,0,0,23 November 2020,02:23:53,An amazing company, Senior Business Analyst,Hong Kong,"23 November 2020
""An amazing company""
5.0
★★★★★
Current Employee ",full-time, more than a year,0,"If you’re willing and able to invest your energy into working at AME you won’t be sorry. You get an in-depth look into the mining industry that most people don’t get to typically see. Management is always a pleasure to work with. They expect you to work hard, so as long as you’re doing your job and pulling your weight you shouldn’t encounter any problems.",This is a high-pressure environment that will eventually begin to wear on you.,Ignore the naysayers. Continue to strive towards the future and do right by your employees.,5.0,,,,,,,Recommends,Positive Outlook,,,,
0,0,0,17 November 2020,03:02:49,I love the culture, Analyst,Hong Kong,"17 November 2020
""I love the culture""
5.0
★★★★★
Former Employee ",full-time, more than a year,0,I made a lot of friends during my time at AME Group. What I liked most about the culture was how tight knit the staff were. We looked out for one another and offered support to newcomers who were going through the onboarding process. The team were highly intelligent and a great group to work with.,We need to double down during the hiring process to avoid hiring the wrong type of people.,Keep up the good work!,5.0,,,,,,,Recommends,Positive Outlook,,,,
0,0,0,13 November 2020,02:01:36,A great place to grow, Business Analyst,Hong Kong,"13 November 2020
""A great place to grow""
5.0
★★★★★
Current Employee ",full-time, more than a year,0,"AME is great for professional development. The learning curve is steep, but well worth it if you stick it out and learn the commodities industry inside and out. Every day presents a new and interesting challenge. Honestly, I wouldn’t have it any other way.",The training of new hires needs to be more thorough. Morale is an issue that needs to be addressed.,"You’re making strides in the right direction, but there’s room for improvement.",5.0,,,,,,,Recommends,Positive Outlook,,,,
0,0,0,1 November 2020,03:22:00,Fantastic work environment, Analyst,Hong Kong,"1 November 2020
Helpful (1)
""Fantastic work environment""
5.0
★★★★★
Current Employee ",full-time, more than a year,1,"This is a company that’s always shifting and evolving to meet the needs of the market. Rarely are we stagnant. This comes with the benefits of staying present with the times, but with the cons of employees lashing out because it’s human nature to resist change. As we sit now, the company is in a great place and I pray that we continue to operate successfully as we move into a new year.",High turnover is an issue because it’s hard to meet managerial expectations.,Pay more attention to morale. If you sense people aren’t happy take quick and decisive action to remedy the issue.,5.0,,,,,,,Recommends,Positive Outlook,,,,
0,0,0,8 December 2019,20:16:38,Management should be embarrassed. Fraudulent. Shockingly low benchmark for work quality. Horrible treatment of staff., Analyst,Hong Kong,"8 December 2019
Helpful (19)
""Management should be embarrassed. Fraudulent. Shockingly low benchmark for work quality. Horrible treatment of staff.""
1.0
★★★★★
Former Employee ",full-time, less than a year,19,The fact that I can write this review and empathise with what others have written here. Years later I still think back to how terribly run the business was/is (clearly still the case based on what is written here).,"Shaun Browne is a pathalogical liar. His word is worthless. Not only does he completely overstate his own experience and knowledge base but he must be deluded, regarding AME's standing in the industry. 

Any time an actually knowledgable or competent staff member (very few of these as all AME does is hire, and then overwork/underpay inexperienced staff), proposed (or heaven forbid proactively pursued) real anaysis Shaun would reject the suggestion.....borne out of ego and a deep mistrust for his staff. 

In my time since work at AME (approx 5yrs ago) I have gone on to work in other commoditiy based business and EVERY person I have ever spoken about having worked at AME either A) laughed and we shared stories about the time they worked there to or B) they expressed genuine disbelief at how poor the work from AME is

I laugh now whenever I see material from AME in my day to day. Many times I have actively recommended businesses I am associated with NOT to use AME simply due to its exceptionally poor standard of work.

It is amazing to me the company still has clients. The level of useful, insightful analysis behind the work is shockingly low and out of date. The number of times embarrassing errors were pointed out by clients was endless.","Read these review. Take it on board. Maybe aim for some self improvement. They are written by honest, smart people that you treated poorly. Your reputation in the industry is permantently damaged. 

And how funny are the comments being posted to these reviews? Nothing more clearly demonstrates the management's mind set than the feeble attempts to discredit what a clearly genuine experiences.",1.0,1.0,1.0,,1.0,1.0,1.0,Doesn't Recommend,Negative Outlook,Disapproves of CEO,,,
