featured,covid-19,anonymous,date,time,headline,role,location,status,contract,years,helpful,pros,cons,advice_to_mgmt,main_rating,work_life_balance,culture_and_values,diversity_inclusion,career_opportunities,comp_and_benefits,senior_management,recommends,outlook,CEO_approval,response_date,response_role,response
0,0,0,3 February 2021,10:56:00,"Everything is good, but not many Promotion chance", Expert,Hong Kong,"3 February 2021
""Everything is good, but not many Promotion chance""
5.0
★★★★★
Current Employee ",full-time, more than 8 years,0,"Learn and feel what is the biggest company in the world, meet many funny people and customers, you can learn many from your collages",There are not many chances to getting promote.,"Please giving more chance for internal promotions, not to just hire someone to be a management.",5.0,5.0,5.0,5.0,2.0,5.0,2.0,Recommends,Neutral Outlook,Disapproves of CEO,,,
0,0,0,25 January 2021,07:14:05,Apple review, Software Engineer,Hong Kong,"25 January 2021
""Apple review""
5.0
★★★★★
Current Employee ",full-time, less than a year,0,Best company in the world,Too many overtime work hours,,5.0,,,,4.0,,,,,,,,
0,0,0,31 January 2021,09:24:59,Good Culture, Lead Genius,Hong Kong,"31 January 2021
""Good Culture""
3.0
★★★★★
Former Employee ",full-time, more than 5 years,0,Good culture but ruin by managment,Not a good place to stay long,,3.0,5.0,5.0,5.0,3.0,3.0,3.0,Doesn't Recommend,Positive Outlook,Approves of CEO,,,
0,0,0,14 January 2021,03:06:38,Worklife balance, Specialist,Hong Kong,"14 January 2021
""Worklife balance""
4.0
★★★★★
Current Employee ",full-time, more than 3 years,0,"Work only 8 hrs and once you off, job done.",Stand to work around 7.5hrs,,4.0,5.0,4.0,3.0,4.0,5.0,3.0,Recommends,Neutral Outlook,No Opinion of CEO,,,
0,0,0,19 January 2021,02:45:46,Bad management team, Sales Manager,Hong Kong,"19 January 2021
""Bad management team""
3.0
★★★★★
Former Employee ",full-time,,0,"Good benefit , lots of AL","Bad HR team, management team",,3.0,,,,,,,,,,,,
0,0,0,26 December 2020,06:38:38,Apple, Designer,Hong Kong,"26 December 2020
""Apple""
5.0
★★★★★
Current Employee ",full-time,,0,high salary pay and chill,stressful work load some times,,5.0,4.0,5.0,5.0,5.0,5.0,5.0,Doesn't Recommend,Positive Outlook,Approves of CEO,,,
0,0,0,14 December 2020,18:25:52,With challenges daily with CS, Senior Technical Specialist,Hong Kong,"14 December 2020
""With challenges daily with CS""
4.0
★★★★★
Current Employee ",full-time, more than 5 years,0,"Have nice teammates and medical support . 
Work life balance , don’t often need OT",High demand of customers services and workload,Change the management style close to US . Listen 👂 Entry level employees feedback and improve the Belongingness！,4.0,5.0,4.0,5.0,3.0,4.0,3.0,Recommends,Positive Outlook,,,,
0,0,0,28 December 2020,03:14:32,N/A, Specialist,Hong Kong,"28 December 2020
""N/A""
3.0
★★★★★
Current Employee ",full-time, more than 5 years,0,Cannot argue with benefits in HK,Culture and management are taking downside in HK,,3.0,5.0,1.0,3.0,1.0,4.0,1.0,Recommends,Positive Outlook,Approves of CEO,,,
0,0,0,12 December 2020,23:11:37,"Boring, compensation is good", Project Manager,Hong Kong,"12 December 2020
""Boring, compensation is good""
4.0
★★★★★
Former Employee ",full-time, more than 3 years,0,"Good Compensation, good if you don't care about work","Lack of interest, repetitive, huge system, lack of career path.",,4.0,4.0,4.0,5.0,2.0,4.0,2.0,Recommends,Positive Outlook,Approves of CEO,,,
0,0,0,13 December 2020,08:13:41,"No Development , Management in HK like a CCP", Specialist,Hong Kong,"13 December 2020
""No Development , Management in HK like a CCP""
3.0
★★★★★
Former Employee ",full-time, more than 3 years,0,good medical and education coverage,"no development, poor management team",,3.0,4.0,4.0,4.0,1.0,4.0,1.0,Doesn't Recommend,Neutral Outlook,No Opinion of CEO,,,
0,0,0,13 December 2020,08:13:41,"No Development , Management in HK like a CCP", Specialist,Hong Kong,"13 December 2020
""No Development , Management in HK like a CCP""
3.0
★★★★★
Former Employee ",full-time, more than 3 years,0,,,,3.0,4.0,4.0,4.0,1.0,4.0,1.0,Doesn't Recommend,Neutral Outlook,No Opinion of CEO,,,
0,0,0,25 November 2020,00:30:00,App, Specialist,Hong Kong,"25 November 2020
""App""
5.0
★★★★★
Current Employee ",part-time, less than a year,0,None ar ar ar ar,Very very very good salary,Notbing,5.0,4.0,4.0,4.0,5.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO,,,
0,0,0,17 November 2020,05:55:05,Amazing Experience, Intern,Hong Kong,"17 November 2020
""Amazing Experience""
5.0
★★★★★
Former Employee ",part-time, more than 3 years,0,amazing experience working there and achieved a lot.,not really that I could think about,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO,,,
0,0,1,24 November 2020,21:23:22,Lead Genius Bar in Apple Store,,Hong Kong,"24 November 2020
""Lead Genius Bar in Apple Store""
3.0
★★★★★
Current Employee ",full-time, more than 5 years,0,"Work life balance, working hours",Not much chance to growth,Promotion opportunities,3.0,5.0,5.0,5.0,3.0,5.0,3.0,Doesn't Recommend,Positive Outlook,,,,
