featured,covid-19,anonymous,date,time,headline,role,location,status,contract,years,helpful,pros,cons,advice_to_mgmt,main_rating,work_life_balance,culture_and_values,diversity_inclusion,career_opportunities,comp_and_benefits,senior_management,recommends,outlook,CEO_approval,response_date,response_role,response
0,0,0,4 January 2021,10:02:55,CSA for 10000 scheme, CSA ,Hong Kong,"4 January 2021
""CSA for 10000 scheme""
5.0
★★★★★
Former Employee ",full-time,,0,Stand there and answer questions from customers. Can learn a lot from the job.,Whole day standing and have little rest time,,5.0,3.0,3.0,3.0,3.0,3.0,3.0,Recommends,Neutral Outlook,No Opinion of CEO,,,
0,0,0,20 January 2021,07:50:09,ABC, Assistant Vice President,Hong Kong,"20 January 2021
""ABC""
4.0
★★★★★
Former Employee ",part-time,,0,"Good environment, regional, quite standard",The Remuneration not very competitive,,4.0,,,,,,,,,,,,
0,0,0,15 January 2021,10:06:05,Good, Commercial Relationship Manager,Hong Kong,"15 January 2021
""Good""
4.0
★★★★★
Former Employee ",full-time, more than 3 years,0,"Work life balance, nice colleagues",Promotion is harder than other banks,,4.0,4.0,4.0,4.0,3.0,4.0,4.0,Recommends,Neutral Outlook,No Opinion of CEO,,,
0,0,0,11 January 2021,19:35:02,Good work life balance but low pay and career path is too boring, Risk Officer,Hong Kong,"11 January 2021
""Good work life balance but low pay and career path is too boring""
4.0
★★★★★
Current Employee ",full-time, more than a year,0,"Good work life balance, people there are friendly and willing to help",Low pay and career development is limited,,4.0,5.0,5.0,5.0,2.0,2.0,5.0,Doesn't Recommend,Neutral Outlook,No Opinion of CEO,,,
0,0,0,10 January 2021,08:43:31,Nice start point for your career, Management Trainee,Kon Hang,"10 January 2021
""Nice start point for your career""
4.0
★★★★★
Current Employee ",full-time, less than a year,0,"Friendly work atmosphere, ppl are really nice here","Nothing so far, maybe more instructions for MTs?",,4.0,4.0,5.0,3.0,4.0,4.0,4.0,Recommends,,No Opinion of CEO,,,
0,0,0,16 January 2021,23:27:01,Strategy Mgr, Strategy Manager,Hong Kong,"16 January 2021
""Strategy Mgr""
3.0
★★★★★
Former Employee ",full-time,,0,BOCHK is having the largest network in HK. Good Exposure,"Large bank, no freedom, old school",,3.0,,,,,,,,,,,,
0,0,0,31 December 2020,22:57:19,Good, Manager,Hong Kong,"31 December 2020
""Good""
4.0
★★★★★
Current Employee ",full-time,,0,Nice colleagues and reasonable workload,Remunerable too much relying on bonus,,4.0,4.0,3.0,3.0,4.0,4.0,4.0,Recommends,Positive Outlook,,,,
0,0,1,14 January 2021,00:28:10,Traditional Chinese firm,,Hong Kong,"14 January 2021
""Traditional Chinese firm""
3.0
★★★★★
Former Employee ",full-time, more than a year,0,It is a very local culture company.,Nothing much to complain instead of the HR.,,3.0,2.0,3.0,3.0,3.0,2.0,3.0,Neutral Outlook,No Opinion of CEO,No Opinion of CEO,,,
0,0,0,13 January 2021,03:38:33,Good welfare, Marketing Officer,Sheung Wan,"13 January 2021
""Good welfare""
3.0
★★★★★
Current Employee ",full-time, more than a year,0,Good welfare and salary is ok,"Too many hierarchies, always difficult to get approval",,3.0,4.0,2.0,3.0,3.0,4.0,3.0,Recommends,Positive Outlook,Approves of CEO,,,
0,0,0,29 December 2020,08:06:17,Hardworking, Operation Officer,Hong Kong,"29 December 2020
""Hardworking""
4.0
★★★★★
Current Employee ",full-time,,0,"A big company, so it is stable career",busy works and needs OTs,,4.0,2.0,3.0,3.0,3.0,3.0,3.0,Doesn't Recommend,Neutral Outlook,No Opinion of CEO,,,
