featured,covid-19,anonymous,date,time,headline,role,location,status,contract,years,helpful,pros,cons,advice_to_mgmt,main_rating,work_life_balance,culture_and_values,diversity_inclusion,career_opportunities,comp_and_benefits,senior_management,recommends,outlook,CEO_approval,response_date,response_role,response
0,0,0,17 January 2013,10:01:39,Wonderful, Account Development,Hong Kong,"17 January 2013
""Wonderful""
5.0
★★★★★
Current Employee ",full-time, more than a year,0,"Great company, great people, nice environment","None, I dont have an issue here",keep it up,5.0,4.0,4.0,,4.0,4.0,4.0,,,,,,
0,0,0,18 July 2020,01:01:12,junior analyst, Junior Analyst,Hong Kong,"18 July 2020
""junior analyst""
3.0
★★★★★
Current Employee ",full-time,,0,good communication and good environment,"stress without support, no team",,3.0,2.0,2.0,,2.0,2.0,2.0,Doesn't Recommend,Neutral Outlook,,,,
0,0,0,25 October 2020,05:29:53,goood, Assistant Project Coordinator,Sydney,"25 October 2020
""goood""
5.0
★★★★★
Former Employee ",full-time,,0,Many working opportunity at all,Long working hours at all,,5.0,3.0,3.0,3.0,3.0,3.0,3.0,Recommends,Positive Outlook,Approves of CEO,,,
0,0,0,3 September 2020,04:59:46,EXEC, Account Executive,Mumbai,"3 September 2020
""EXEC""
3.0
★★★★★
Former Employee ",full-time, more than a year,0,Nice work place to work,Not a good place for non team players,,3.0,3.0,3.0,,3.0,3.0,3.0,Recommends,Positive Outlook,Approves of CEO,,,
0,0,0,26 November 2019,17:28:59,ITs good, Researcher,,"26 November 2019
""ITs good""
5.0
★★★★★
Current Employee ",full-time,,0,"Good Pay and great benefits, very cool",Not really mans cons except for management,,5.0,5.0,5.0,,5.0,5.0,5.0,,,,,,
0,0,1,17 July 2018,08:03:51,Work,,,"17 July 2018
""Work""
5.0
★★★★★
Former Employee ",full-time,,0,Great group of employees plus management teak,No room for over time,,5.0,5.0,5.0,,5.0,5.0,5.0,,,,,,
0,0,0,10 July 2017,14:59:31,Software engineer,,,,, less than a year,0,great working space and air conditioning,too much time spent on transporting,improve tips,4.0,4.0,4.0,,4.0,4.0,4.0,Recommends,Neutral Outlook,No Opinion of CEO,,,
0,0,0,20 September 2016,08:27:09,Access,,,,,,0,Plenty of autonomy and chance to try new things,Not in line with my values,,2.0,4.0,1.0,,,3.0,2.0,Doesn't Recommend,,,,,
0,0,0,28 August 2015,15:43:24,Not bad but driven by equity company,Technical Leader,"Milwaukee, WI",,, more than 3 years,0,They have iPhones for the staff,The list is endless but generally they have a random approach,Start to think about your own futures,2.0,4.0,2.0,,2.0,1.0,2.0,Neutral Outlook,,,,,
0,0,0,13 August 2015,00:11:37,Poor management,,,,,,0,Good team members. Most of team members are skilled developers and hard working,"Frequent upper management changes; 
Frequent direction changes;",,1.0,3.0,1.0,,1.0,2.0,1.0,,,,,,
