featured,covid-19,anonymous,date,time,headline,role,location,status,contract,years,helpful,pros,cons,advice_to_mgmt,main_rating,work_life_balance,culture_and_values,diversity_inclusion,career_opportunities,comp_and_benefits,senior_management,recommends,outlook,CEO_approval,response_date,response_role,response
0,0,0,28 December 2020,17:53:10,Great company for stable work/life., Engineer II,Hong Kong,"28 December 2020
""Great company for stable work/life.""
5.0
★★★★★
Current Employee ",full-time,,0,"Plentiful resources available, high safety standard, cares about its goodwill, workload is acceptable and good working culture.","Lack of work guidance at first, heavily rely on self-motivated learning while work.
A ton of unnecessary admin procedure, lower work efficiency.
Result of HR policy, a lot of colleagues tend to ""work with the book""",Stop outsourcing and develop internal technical work team to retain core skill.,5.0,4.0,4.0,3.0,4.0,5.0,2.0,Recommends,Positive Outlook,No Opinion of CEO,,,
0,0,0,8 January 2021,19:05:12,Good, Engineer,Tsuen Wan,"8 January 2021
""Good""
3.0
★★★★★
Current Employee ",full-time,,0,Good for newbie foe learn,No good when too long stay,,3.0,,,,,,,,,,,,
0,0,0,4 January 2021,17:38:20,Contract Staff vs Permanent Staff, Marketing Assistant,Hong Kong,"4 January 2021
""Contract Staff vs Permanent Staff""
4.0
★★★★★
Current Employee ",full-time,,0,Permanent Staff treatment is so much better than contract Staff,Company treat contract staff as external labour,,4.0,5.0,2.0,5.0,1.0,1.0,3.0,Recommends,Positive Outlook,No Opinion of CEO,,,
0,0,0,1 January 2021,11:25:38,Work, Data Analyst,Hong Kong,"1 January 2021
""Work""
3.0
★★★★★
Current Employee ",full-time, more than a year,0,"Huge data set
can work on the different type of data","traditional
lots of ad hoc things",,3.0,4.0,3.0,3.0,3.0,4.0,2.0,Recommends,Neutral Outlook,No Opinion of CEO,,,
0,0,0,10 December 2020,00:38:50,Scaled and well-structured company, Assistant Engineer,Hong Kong,,full-time,,0,Good job security and the company upholds work safety,Lower upstream mobility and remote working location,,5.0,5.0,5.0,4.0,4.0,4.0,4.0,Recommends,Positive Outlook,,,,
0,0,0,10 December 2020,03:21:02,Assistant Manager, Assistant Manager,Hong Kong,"10 December 2020
""Assistant Manager""
4.0
★★★★★
Former Employee ",full-time, more than a year,0,Good work life balance and work culture,Nothing I can think of,,4.0,5.0,4.0,4.0,4.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO,,,
0,0,1,14 November 2020,08:58:07,Good working environment,,,"14 November 2020
""Good working environment""
5.0
★★★★★
Current Employee ",full-time,,0,"Friendly colleagues, a work-life balance",some pressure and last minute changes,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,,,,
0,0,1,28 November 2020,02:40:12,Good company and friendly employees,,Hong Kong,"28 November 2020
""Good company and friendly employees""
4.0
★★★★★
Former Employee ",full-time,,0,Stable and respectful working environment,Bureaucratic and limited opportunities for promotion,,4.0,,,,,,,,,,,,
0,0,0,26 November 2020,04:01:35,nooooooo, Engineer,Hong Kong,"26 November 2020
""nooooooo""
2.0
★★★★★
Current Employee ",full-time,,0,stable job and stable income,"low salary
very far working location",,2.0,3.0,2.0,4.0,4.0,3.0,3.0,Doesn't Recommend,Neutral Outlook,Approves of CEO,,,
0,0,1,19 November 2020,11:26:18,Good packages but high demanding,,,"19 November 2020
""Good packages but high demanding""
3.0
★★★★★
Former Employee ",full-time,,0,Overall salary and benefits package is better than market,Long working hours and heavy workload,,3.0,1.0,5.0,3.0,3.0,5.0,3.0,Neutral Outlook,No Opinion of CEO,No Opinion of CEO,,,
0,0,0,3 November 2020,19:20:04,very good experience, Cloud Architect,,"3 November 2020
""very good experience""
5.0
★★★★★
Current Employee ",full-time,,0,,,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,,,,
0,0,0,28 October 2020,20:35:00,Good, Engineer,Hong Kong,"28 October 2020
""Good""
5.0
★★★★★
Current Employee ",full-time,,0,Good salary and working environment,Stable working environment and no need to shift,,5.0,5.0,,5.0,,,5.0,Recommends,Positive Outlook,Approves of CEO,,,
0,0,0,17 October 2020,19:49:09,good employer, Laboratory Manager,Hong Kong,"17 October 2020
""good employer""
5.0
★★★★★
Current Employee ",full-time,,0,stable and good benefit and salary,heavy workload and work location inconvenient,,5.0,3.0,3.0,3.0,4.0,4.0,3.0,Recommends,Positive Outlook,Approves of CEO,,,
0,0,0,1 November 2020,20:52:03,working in CLP, Procurement Officer,Hong Kong,"1 November 2020
""working in CLP""
2.0
★★★★★
Former Employee ",full-time, more than 3 years,0,"stable, well benefits and reasonable salary, colleagues are nice, safety working environment, a lot of training","a lot of OT and workload which violate their slogan ' work life balance', and the staff who can speak fluent english, outgoing and with engineer background can have a lot of promotion, not only focus on their performance.",,2.0,2.0,3.0,3.0,3.0,4.0,2.0,Recommends,Positive Outlook,No Opinion of CEO,,,
0,0,0,16 October 2020,00:00:57,NA, Engineer II,Hong Kong,"16 October 2020
""NA""
4.0
★★★★★
Former Employee ",full-time,,0,Many technical knowledge to learn,Stressful and bureaucratic document system,,4.0,,,,,,,,,,,,
0,0,0,7 October 2020,09:00:12,Personal View, Assistant Manager,Hong Kong,"7 October 2020
""Personal View""
4.0
★★★★★
Current Employee ",full-time,,0,"Stable, work life balance, multiple different discipline in one company","Low salary, conservative, low efficiency",,4.0,5.0,4.0,5.0,4.0,3.0,4.0,Recommends,Neutral Outlook,Approves of CEO,,,
0,0,1,8 August 2020,08:21:26,Good company with great benefits,,"Hung Hom, Kowloon City","8 August 2020
""Good company with great benefits""
4.0
★★★★★
Former Employee ",full-time, more than 5 years,0,P fund -12.5% each month,middle level management is not capable,,4.0,4.0,4.0,,4.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO,,,
