featured,covid-19,anonymous,date,time,headline,role,location,status,contract,years,helpful,pros,cons,advice_to_mgmt,main_rating,work_life_balance,culture_and_values,diversity_inclusion,career_opportunities,comp_and_benefits,senior_management,recommends,outlook,CEO_approval,response_date,response_role,response
0,0,0,19 February 2020,12:00:54,Great Company to work for, Mortgage Loan Officer,,"19 February 2020
Helpful (1)
""Great Company to work for""
5.0
★★★★★
Former Employee ",full-time, more than a year,1,Company truly cares about employees. They show that by flying you to the headquarters for training to inform you about their culture. Also a fabulous steak dinner on the last night to socialize with others.,I don't have any cons about this company,,5.0,4.0,5.0,,4.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO,,,
0,0,1,8 March 2020,10:41:42,Needs better re-investment in the employees,,,,full-time, more than a year,0,"Good resources, training available for other positions, but not sure if it will lead to a promotion or not as I was not there long enough.","Benefits are lack-luster. Would have like to have seen a re-investment in the employee, such as 401k matching. This was one of the reasons I left the company.",,3.0,4.0,4.0,,4.0,3.0,3.0,Doesn't Recommend,Neutral Outlook,No Opinion of CEO,,,
0,0,1,10 February 2020,05:25:28,Doesn’t value employees,,,"10 February 2020
Helpful (1)
""Doesn’t value employees""
2.0
★★★★★
Former Employee ",full-time, more than 3 years,1,The pay was decent and the employees were great people.,"No opportunities for annual raises, and no bonuses. They take top producers and execs on an extravagant trip Mexico, neglecting to realize that helping those top producers is a team effort. The company brings in billions, yet refuses to reward the employees who show up every day to support its success.","If you want to retain and recruit top talent, consider rewarding your employees with a bonus, annual raise, or even just a 401k match. You can’t expect to keep up with other companies if you don’t value your people.",2.0,,,,,,,,,,,,
0,0,0,9 October 2019,07:40:43,Love my branch, Mortgage Loan Processor,"Indianapolis, IN","9 October 2019
""Love my branch""
5.0
★★★★★
Current Employee ",full-time, more than 5 years,0,"I've been here 7+ years, and have always had a great relationship with my boss. Richard is super flexible and has always pretty much let me do what I want/need as far as leaving to take care of my daughter when she was still at home. I recently had an offer from another employer for considerably higher base pay, and he matched it. Shows that he values me as an employee.","I know that at the Corporate level, they allow people to work from home - wish this were an option for me at the Branch level. Would love to telecommute a couple days a week.","not really a lot of room for advancement at the branch level. would consider moving into Underwriting, but know that when layoffs come around, I'd be first out the door, and I wouldn't have the security that I do at my Branch.",5.0,5.0,5.0,,3.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO,,,
0,0,0,11 July 2019,09:30:28,Great Company, Business Systems Analyst,,"11 July 2019
""Great Company""
4.0
★★★★★
Former Employee ",full-time,,0,Great Company with great Executive Management team.,No advancement opportunities and no annual reviews for raises.,Thank you for your review.,4.0,5.0,5.0,,1.0,5.0,5.0,Approves of CEO,,Approves of CEO,"July 15, 2019",Vice President of Marketing & Communications,
0,0,1,2 July 2019,06:42:06,Great work environment with work-life balance,,,,full-time,,0,"CCMC provides a great, family-like culture and encourages employees to have work-life balance. The company has a longstanding positive reputation in the community and it's wonderful to hear about CCMC's customer-focused mission to help home owners.",It would really enhance the benefits if the company provided a 401k match and some form of paid family leave.,,5.0,,,,,,,Recommends,Positive Outlook,Approves of CEO,,,
0,0,0,20 June 2019,09:13:41,Great Team. Great Culture., Senior Graphic Designer,"Denver, CO","20 June 2019
""Great Team. Great Culture.""
5.0
★★★★★
Current Employee ",full-time, more than a year,0,"• I love the team I work with! They are more than just my co-workers but more like my friends or work family.
• The VP of Marketing, David Arrnet is AMAZING! I always feel listened to and supported. He is also great at encouraging a work-life balance and really helps continue to grow and push our team to do the best we can.","• Communication between different departments is not always clear or even there which can make it difficult when working on bigger initiatives
• Benefits (mainly no matching on 401K) are not the best
• You can't bring your dog to work","Listen to not only the managers but also the people who may be at the ""bottom of the barrel"". They have ideas and see things that you may not.",5.0,5.0,5.0,,4.0,3.0,4.0,Recommends,Positive Outlook,Approves of CEO,,,
0,0,0,19 June 2019,15:57:23,Great Culture and Work Life Balance, Corporate Employee,"Greenwood Village, CO","19 June 2019
""Great Culture and Work Life Balance""
5.0
★★★★★
Current Employee ",full-time, more than a year,0,"Love the company, the vibe around corporate and the accessibility of most of the executive leadership.","Sometimes corporate moves slowly, but that's the way it is with most companies.",,5.0,5.0,5.0,,5.0,4.0,5.0,Recommends,Positive Outlook,Approves of CEO,,,
0,0,0,6 June 2019,12:58:31,I love my job and my CCMC Family., Vice President Marketing,"Denver, CO","6 June 2019
""I love my job and my CCMC Family.""
5.0
★★★★★
Current Employee ",full-time, more than 3 years,0,"Fantastic leadership that really listens to their employees and is not afraid to try new ideas. 
Culture is like a big family. 
Incredible opportunities for growth, increasing education and sharpening skills. 
Forward thinking and striving for cutting-edge technologies.
A good work/life balance is promoted.","401 K is not a match; however, we do have a home loan benefit that is fantastic.",,5.0,5.0,4.0,,5.0,4.0,5.0,Recommends,Positive Outlook,Approves of CEO,,,
0,0,0,27 April 2019,18:47:08,Branch Manager, Branch Manager,"Richland, WA","27 April 2019
""Branch Manager""
4.0
★★★★★
Current Employee ",full-time, more than 8 years,0,"The newly launched, proprietary LOS system is by far the best in the industry. Management provides loan officers business development tools like Home Buyers Marketing, MBS, OSI and MBS Highway. We have an in-house coaching program through Rewire and an annual sales rally. Programs are constantly being added to provide loan officers opportunities to assist more buyers. Management is accessible and responsive.",Some departments provide better service than others. Brand awareness outside of the Colorado market is less than desirable. No matched 401k.,"Share your vision and plans for the future growth of the company. Where are we going and how are you going to get us there? Take the time to visit your branches. Survey employees, you might be surprised at the insights you are able to glean.",4.0,5.0,5.0,,5.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO,,,
