featured,covid-19,anonymous,date,time,headline,role,location,status,contract,years,helpful,pros,cons,advice_to_mgmt,main_rating,work_life_balance,culture_and_values,diversity_inclusion,career_opportunities,comp_and_benefits,senior_management,recommends,outlook,CEO_approval,response_date,response_role,response
0,0,0,12 January 2021,02:08:49,Helper, Helper,Hong Kong,"12 January 2021
""Helper""
5.0
★★★★★
Former Employee ",part-time, less than a year,0,"nice, comfortable, friendly environment, good to work","lack of upward development, cold",,5.0,4.0,4.0,4.0,4.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO,,,
0,0,0,7 January 2021,22:09:57,Part-time student helper, Part Time Student Helper,Hong Kong,,part-time,,0,Close to school campus and conveinient,pay is somewhat lower than other places,,5.0,,,,,,,,,,,,
0,0,0,6 January 2021,02:26:23,Good, Research Assistant,Hong Kong,"6 January 2021
""Good""
5.0
★★★★★
Current Employee ",full-time,,0,perform well in every aspect,None None None None None,,5.0,,,,,,,,,,,,
0,0,0,4 January 2021,01:01:57,CRMO, Research Assistant,Hong Kong,"4 January 2021
""CRMO""
5.0
★★★★★
Current Employee ",full-time, more than a year,0,"Great and quiet environment, and staffs",Nothing that I know of,,5.0,3.0,3.0,3.0,3.0,3.0,3.0,Recommends,Neutral Outlook,No Opinion of CEO,,,
0,0,0,2 January 2021,08:47:39,Good Experience, Teaching Assistant,Hong Kong,"2 January 2021
""Good Experience""
5.0
★★★★★
Former Employee ",part-time, less than a year,0,Very Good Experience - Hours are flexible.,There doesn't seem to be any cons.,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,,,,
0,0,0,13 January 2021,22:26:35,It's ok, Bioinformatics Scientist,Sha Tin,"13 January 2021
""It's ok""
3.0
★★★★★
Current Employee ",full-time, more than a year,0,"The workload is low, and the rankings is high",The management is a little bit poor,,3.0,,,,,,,,,,,,
0,0,0,28 December 2020,18:52:04,Good, PhD Student,Hong Kong,"28 December 2020
""Good""
5.0
★★★★★
Former Employee ",part-time,,0,It's good in every aspect,I cannot think of any,,5.0,,,,,,,,,,,,
0,0,0,10 January 2021,22:47:13,Good, Project Coordinator,Sha Tin,"10 January 2021
""Good""
4.0
★★★★★
Former Employee ",full-time,,0,"stable, many annual leave, have medical","Remote location, need to take school bus",,4.0,,,,,,,,,,,,
0,0,0,8 January 2021,19:38:29,Comments, PhD Student,Hong Kong,"8 January 2021
""Comments""
3.0
★★★★★
Current Employee ",full-time, more than a year,0,Just like other institutions in hk,Lack of working space and tough senior members,None,3.0,2.0,4.0,3.0,3.0,3.0,2.0,Doesn't Recommend,Neutral Outlook,No Opinion of CEO,,,
0,0,0,5 January 2021,04:12:47,Worth, Postgraduate,Hong Kong,"5 January 2021
""Worth""
3.0
★★★★★
Former Employee ",full-time,,0,Learned frontier technique and reasonable-priced foods,Too stressed to handle the workload,,3.0,2.0,4.0,4.0,3.0,3.0,2.0,,,,,,
0,0,1,14 December 2020,19:32:52,NA,,Hong Kong,"14 December 2020
""NA""
5.0
★★★★★
Current Employee ",full-time,,0,,,,5.0,,,,,,,,,,,,
0,0,0,9 December 2020,09:17:14,My school, Student,Hong Kong,"9 December 2020
""My school""
5.0
★★★★★
Current Employee ",full-time,,0,It offers great working environment,It is too far for people living in district area,,5.0,,,,,,,,,,,,
0,0,0,9 December 2020,06:04:21,Good student part time job, Student Helper,Hong Kong,"9 December 2020
""Good student part time job""
5.0
★★★★★
Current Employee ",part-time,,0,"Salary not bad, $60 / hr",Hard to find a position,,5.0,5.0,5.0,5.0,4.0,4.0,5.0,Recommends,Neutral Outlook,,,,
0,0,0,7 December 2020,02:21:32,Some comments of the salary scale, Project Coordinator,Sha Tin,"7 December 2020
""Some comments of the salary scale""
5.0
★★★★★
Current Employee ",full-time,,0,Stable job and work life balance,"If you enter after the beginning of a new year, you have to wait for nearly two years for salary increment",,5.0,,,,,,,,,,,,
