featured,covid-19,anonymous,date,time,headline,role,location,status,contract,years,helpful,pros,cons,advice_to_mgmt,main_rating,work_life_balance,culture_and_values,diversity_inclusion,career_opportunities,comp_and_benefits,senior_management,recommends,outlook,CEO_approval,response_date,response_role,response
0,0,0,19 January 2021,00:57:45,Research Assistant, Research Assistant,Hong Kong,"19 January 2021
""Research Assistant""
5.0
★★★★★
Former Employee ",full-time, more than a year,0,Good experiences to work with colleges at College of Business,Not found yet. I recommend this position.,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO,,,
0,0,0,5 January 2021,05:27:15,Good university, Master Student,Hong Kong,"5 January 2021
""Good university""
5.0
★★★★★
Current Employee ",full-time,,0,Good place to study and make friends.,No obvious drawbacks yet. Hope they can keep improving themselves.,,5.0,,,,,,,,,,,,
0,0,1,4 January 2021,06:18:02,assistant,,,"4 January 2021
""assistant""
5.0
★★★★★
Current Employee ",part-time,,0,it is very steady and good.,It is very low pay.,,5.0,,,,,,,,,,,,
0,0,0,2 January 2021,19:59:51,A good school, Research Assistant,Hong Kong,"2 January 2021
""A good school""
5.0
★★★★★
Former Employee ",full-time, more than a year,0,Heavey work. High living price.,Salary paid on time. Nice workmate and condition.,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,No Opinion of CEO,,,
0,0,0,1 January 2021,20:35:00,sdfsf;sfjsdfljsdl;kf, Associate,Hong Kong,"1 January 2021
""sdfsf;sfjsdfljsdl;kf""
5.0
★★★★★
Former Employee ",part-time,,0,positive working environment and atmosphere,"N/A, Overall working experience was great",,5.0,3.0,3.0,3.0,4.0,3.0,3.0,Recommends,Neutral Outlook,No Opinion of CEO,,,
0,0,0,13 January 2021,23:22:31,Review, Assistant Professor,Hong Kong,"13 January 2021
""Review""
3.0
★★★★★
Current Employee ",full-time,,0,"Internationalization, institutional support, and good salary",Policy changes from time to time without enough consultation,,3.0,,,,,,,,,,,,
0,0,0,13 January 2021,06:05:10,All ok, Senior Research Associate,,"13 January 2021
""All ok""
4.0
★★★★★
Former Employee ",part-time, less than a year,0,Good environment and good people,A lot of paper work,,4.0,3.0,4.0,4.0,4.0,4.0,4.0,,,,,,
0,0,0,11 January 2021,20:41:13,Casual environment, Research Assistant,Hong Kong,"11 January 2021
""Casual environment""
3.0
★★★★★
Former Employee ",full-time,,0,Casual environment and flexible working hours,"salary not attractive, better study PhD",,3.0,,,,,,,,,,,,
0,0,1,12 January 2021,11:10:37,So-so,,Hong Kong,,full-time,,0,"Free dental and medical service. 
Free working environment.",Constant reform to reduce salary scale and benefits,,3.0,3.0,3.0,4.0,4.0,3.0,2.0,Recommends,Positive Outlook,Disapproves of CEO,,,
0,0,0,11 January 2021,00:47:22,test, Systems Analyst,Hong Kong,"11 January 2021
""test""
4.0
★★★★★
Former Employee ",full-time,,0,NO NO No No No,"System never update
Decades old system",,4.0,2.0,2.0,2.0,2.0,2.0,2.0,Doesn't Recommend,Neutral Outlook,No Opinion of CEO,,,
0,0,0,25 December 2020,20:24:27,colleagues, Part Time Student Helper,,"25 December 2020
""colleagues""
5.0
★★★★★
Former Employee ",part-time,,0,colleague are good to work with,cannot learn much skills and future development,,5.0,3.0,3.0,3.0,3.0,4.0,3.0,Doesn't Recommend,Neutral Outlook,No Opinion of CEO,,,
0,0,0,9 January 2021,07:03:32,Temp Job, Clerical Officer,"Kwun Tong, Kowloon City","9 January 2021
""Temp Job""
3.0
★★★★★
Current Employee ",full-time,,0,"Good location, in the city center, transportation is convenient.","Opportunity is less, job security is low.",,3.0,4.0,3.0,3.0,3.0,3.0,2.0,Recommends,Neutral Outlook,No Opinion of CEO,,,
0,0,1,3 January 2021,09:59:00,.,,,"3 January 2021
"".""
3.0
★★★★★
Former Employee ",part-time,,0,fairly ok salary . .,boring project but have big funding,,3.0,,,,,,,,,,,,
0,0,0,25 December 2020,09:31:10,Good experience., Research Assistant,Hong Kong,"25 December 2020
""Good experience.""
4.0
★★★★★
Current Employee ",part-time, more than a year,0,A very good experience working here.,a a a a a,,4.0,,,,,,,,,,,,
0,0,0,11 December 2020,01:07:10,Good University, Assistant Professor,Hong Kong,"11 December 2020
""Good University""
5.0
★★★★★
Former Employee ",full-time, more than 3 years,0,"Good University, good environment, good colleagues","NA, NA, NA, NA, NA",NA,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO,,,
0,0,0,7 December 2020,23:06:44,RA salary, Research Assistant,Hong Kong,"7 December 2020
""RA salary""
5.0
★★★★★
Current Employee ",full-time, less than a year,0,Nice environment and research studies,Maybe the university is not the most famous one in HK,,5.0,5.0,5.0,5.0,4.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO,,,
