featured,covid-19,anonymous,date,time,headline,role,location,status,contract,years,helpful,pros,cons,advice_to_mgmt,main_rating,work_life_balance,culture_and_values,diversity_inclusion,career_opportunities,comp_and_benefits,senior_management,recommends,outlook,CEO_approval,response_date,response_role,response
0,0,1,25 August 2020,01:35:32,good working environment,,,Former Employee ,full-time,,0,"good working environment, efficient employee",- - - - - -,,5.0,,,,,,,,,,,,
0,1,0,22 January 2021,08:05:10,Hard to be promoted, Global Marketing Manager,Hong Kong,Current Employee ,full-time,,0,Good office perks which have all but disappeared due to covid,Hard to be promoted unless you’re in engineering or sales,,4.0,3.0,5.0,5.0,2.0,3.0,4.0,Recommends,Positive Outlook,Approves of CEO,,,
0,0,0,19 January 2021,03:11:08,It's great job, Sales Manager,Hong Kong,Current Employee ,part-time,,0,thx to my great cooperator,part time job is amazing,,4.0,,,,,,,,,,,,
0,0,0,30 December 2020,23:14:07,Very Nice, Product Manager,,Current Employee ,full-time,,0,good the management has a very good experience,nothing really say about the company,,4.0,,,,,,,,,,,,
0,0,0,17 November 2020,00:42:03,Ok, Analyst,,Former Employee ,full-time, more than a year,0,Not bad over all in terms of compensation,Too much laxed environment and too many layers.,Give better space to employees to explore their potential and creativity.,4.0,4.0,4.0,4.0,3.0,3.0,3.0,Recommends,Positive Outlook,No Opinion of CEO,,,
0,0,1,3 September 2020,00:23:59,a good company,,,Former Employee ,full-time,,0,a good company for you to work with many smart people,"big company issues, the process may slow",,4.0,,,,,,,,,,,,
0,0,0,28 July 2020,09:14:55,The culture is very noble that touches my heart, Budiness Development Manager,Hong Kong,Current Employee ,full-time, more than 5 years,0,"Good culture and friendly working environment

Good benefits

Good career growth",Company is so big requires a lot of communication and meetings,,5.0,5.0,5.0,,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO,,,
0,0,1,6 March 2020,00:12:22,Mission oriented,,,Current Employee ,full-time, more than 3 years,0,"Make big impact, free to do what you think makes sense","high pressure, many re-orgs and manager changes",,5.0,3.0,5.0,,5.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO,,,
0,0,0,4 November 2019,00:53:26,Great Company!, Program Manager,Hong Kong,Current Employee ,full-time, less than a year,0,"Great company, respect everyone and every opinion matters!!!","No Cons at all, FB is indeed a great company!",,5.0,4.0,5.0,,5.0,4.0,5.0,Recommends,Positive Outlook,Approves of CEO,,,
0,0,1,22 March 2019,10:11:28,Company is going downhill,,,Former Employee ,full-time, more than a year,0,"Free food, fancy office environment","Cost cutting, cannot see the future, staff don't trust each other",,1.0,2.0,1.0,,1.0,4.0,1.0,Doesn't Recommend,Negative Outlook,Approves of CEO,,,
0,0,1,5 March 2019,12:22:22,Serious problems ahead,,,Former Employee ,full-time,,2,"Good standard perks, things are moving fast","The company is arguably way in over its head with the issues that it has to tackle. Slow to react to major problems and unnecessary infighting. Beyond the gloss of the brand, there is a lot of ugliness beneath. Avoid if possible.",,1.0,,,,,,,Doesn't Recommend,Negative Outlook,Disapproves of CEO,,,
0,0,1,13 December 2017,00:35:38,Software Engineer,,,Former Employee ,full-time,,0,Open and exciting. Engineering oriented. Good peers. Good tools. Good benefits.Open and exciting. Engineering oriented. Good peers. Good tools. Good benefits.,You need to be very social. Different teams are very different. Your manager decides your performance.,Some people are really hard to work with. It is really hard to survive at Facebook if your manager does not like you much.,5.0,5.0,4.0,,5.0,5.0,4.0,Recommends,Positive Outlook,Approves of CEO,,,
0,0,1,29 June 2017,11:40:05,I didn't expect that,,,Current Employee ,full-time, more than a year,5,"Not very political compare to other advertising company. Paid is very good, easy to reach quota, growing business in greater china, amazing benefits and great CEO. Great outlook to the business, but need to carefully select team and focus market.","Hong Kong office culture, and team culture. Over controlling of employees actions... surprisingly, no one speaks English at office because 65% of employees are from China, and 30% Hong Kong. Hard to perform and compete with mainland colleagues because they are good at sucking up and aggressive. At meetings, always need to compete to share things that are meaningless to everyone, and raise your hands as much as possible. 
Hard to trust anyone at work, even managers and management and HR.","Improve culture and provide care to ethic minority at office. Be open and honest, and do not only listen to managers. You know our culture is bad, and many people are unhappy at work. Too many people needs use time and energy to act happy. Waste of time, not efficient.",1.0,1.0,1.0,,1.0,1.0,1.0,Doesn't Recommend,Negative Outlook,Disapproves of CEO,,,
