featured,covid-19,anonymous,date,time,headline,role,location,status,contract,years,helpful,pros,cons,advice_to_mgmt,main_rating,work_life_balance,culture_and_values,diversity_inclusion,career_opportunities,comp_and_benefits,senior_management,recommends,outlook,CEO_approval,response_date,response_role,response
0,0,0,29 January 2021,05:20:38,Best place to contribute to open-source, Open Source Developer,,Current Employee ,part-time, more than a year,0,The best ever open-source community,I can't think of one,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO,,,
0,0,0,18 January 2021,13:30:08,Best place to be, Inside Sales Representative,,Current Employee ,full-time,,0,Everything ! From leadership to colleagues and companies culture and growth opportunities and so on,None that I have in mind,Keep the great work !,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO,,,
0,0,0,31 January 2021,15:12:09,Good pay. Fun projects. Big company drama, Senior Software Engineer,"Apex, NC",Current Employee ,full-time,,0,"* Good pay 
* Great benefits
* Work in tools lots of people use",* Big company. Means lots of drama and difficult to know everything that’s happening.,,4.0,4.0,3.0,4.0,4.0,5.0,3.0,Recommends,Positive Outlook,No Opinion of CEO,,,
0,0,0,16 January 2021,16:08:32,great, Supply Chain Manager,"San Francisco, CA",Current Employee ,full-time,,0,github is a great place to work,there are no cons for this job,,5.0,,,,,,,,,,,,
0,0,0,15 January 2021,13:06:24,Good Company, Senior Solutions Engineer,Berlin,Current Employee ,full-time, more than a year,0,"- salary
- benefits
- team and culture","- the work life balance some time
- strategy is not always clear",,5.0,3.0,4.0,4.0,4.0,5.0,4.0,Recommends,Neutral Outlook,Approves of CEO,,,
0,0,0,29 January 2021,11:32:15,Great perks, Software Engineer,Hyderābād,Current Employee ,full-time, less than a year,0,"Wfh allowance
Education allowance
Internet and health perks",Worklife is ok not like microsoft,,4.0,3.0,4.0,4.0,4.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO,,,
0,0,0,26 January 2021,15:07:35,well compensated but such a mess, Designer,,Current Employee ,full-time, more than 3 years,0,"- Individuals on teams are generally great people to work with.
- Everyone is here for their love of open source and software.","- Sometimes over-reaching leadership and lack of process.
- Constant sense of urgency but also sudden changes to plans.
- Approach to customer centered design is uneven and cherry picked.
- Distrust between leadership and employees, disconnected and out of touch.",,2.0,2.0,2.0,1.0,3.0,4.0,2.0,Doesn't Recommend,Neutral Outlook,Disapproves of CEO,,,
0,0,0,16 January 2021,05:50:25,Great place to work and learn, Software Engineer,,Current Employee ,full-time, more than a year,0,Good pay and great impact work wise,Didnt see any till now,,4.0,5.0,4.0,5.0,5.0,5.0,5.0,,,,,,
0,0,0,11 January 2021,19:06:43,Mixed bag with MSFT, Senior Solutions Architect,"Baltimore, MD",Current Employee ,full-time, more than a year,1,We're on MSFT paper and overall benefits are good. Work life balance is good.,GitHub culture of innovation and community contributions is fading as MSFT becomes dominant culture. Far too many white dudes and not nearly enough females. First place I've ever worked at that does not offer a referral bonus. Not a place I can fully utilize my experience or grow my career.,No advice - writing is on the wall,4.0,4.0,4.0,3.0,3.0,4.0,3.0,Doesn't Recommend,Neutral Outlook,Approves of CEO,,,
0,1,0,24 December 2020,09:05:16,"Diversity is Lip Service, Amazing Peers just terrible Mgmt", Senior Engineer,"San Francisco, CA",Former Employee ,full-time, more than 3 years,16,"Friendly cohorts/peers and cool network of amazing people after you head out, good company events (when there isn't covid) and opportunities to travel, sign-on benefits are really nice.","Leadership - from top to bottom. Actually listen to your ERG groups, they are the best part and the backbone of your company. Listen to your good managers and stop keeping the rotten ones.","I was at Github a while back, several months ago. I wanted to give it a minute so I could write a level-headed review. Now I'm at a another company and chilled out and reflective about my experience. 

I'm going to start with my criticism of the ERG groups (Octogatos, Blacktocats, and Octoqeers) because I think it's both Github's biggest strength and downfall. They have great people there that they completely underutilize and continue to lose.

While I did see a lot of growth and opportunity during my years at the company, as well as women in positions of leadership -- overall Github's efforts for diversity and inclusion are largely lip service and anecdotal - as some of those same women in leadership unfortunately contribute to the problem all the same as the men. A layoff last year included mostly women (and more specifically BIPOC women) which was whispered through the company and handled TERRIBLY. I also saw several woman (incl women of color, as well as lgbt women incl myself) leave my own team within my short time there. As a matter of fact, my sr manager only hired former employees from the same regional company s/he had previously worked for. For this position, they had the opportunity to interview (frankly over)qualified men and women color for a sr engineering position which took quite literally over a dozen hours to interview for, only to have an engineer GIVEN to us from sr leadership...because somebody knew him from our Parent company -- I never even interviewed him for the position. What the hell was the point of 12 hours of interviews and lengthy greenhouse submissions, then?

Overall turnover and burnout rate continues to be an issue as people were hired and left shortly thereater, from what I could see, an average of a year. Nepotism in management runs very deep. Escalations to leadership are unheard and empty, as on more than one occasion Ive heard of employees (incl myself) being written up for speaking out for feeling uncomfortable. If you want to know about the company's history of performative bullcrap, look no further than when they signed a contract with ICE only to have a wave of internal employee complaints including a TOWN HALL where the head of legal spoke out against our CEO. This also spread on twitter, news media outlets, and the internal employee petition that was signed by many people (myself included) which you can still find as a pull request if you're working there. Services like the Octogatos and Blacktocats are great and a wonderful start to reel people in but ultimately the buck stops at senior leadership who seem to believe in employee empowerment & open door policies at a surface level only. This does not diminish the work of the wonderful people overseeing and contributing to these employee initiatives and is indicative only of the program management that stifles their efforts. This goes from individual team leadership all the way up to HR and the executive board. 

This is all contrary to the supposed work-life balance and unlimited PTO the remote infrastructure would indicate. Much like other elite tech companies, Github suffers the Silicon Valley-esque allure wherein they'll convince you that you're a chosen Golden Child for being blessed for the opportunity to be working for them. Imposter Syndrome is talked about often, even for new hires, but then when you actually do your 1:1s or skip level and want to give open door policy feedback about/to your manager - you can quite literally retaliated against. That isn't to say that Github doesn't have wonderful managers among the lot, just that they are trapped in an unfortunately nepotistic system that is def present from the top, down. After spending a few years there I'm actually more convinced that these lectures about Imposter Syndrome during new hire orientation were actually meant to beat you down/convince you that you shouldn't work there, so that you feel bad for speaking up. ""We all feel it! Don't worry! Just talk to your manager if you're having problems with xyz because we'll be here for you."" It's baloney. In my own direct experience (as well as others, the network of people who have left the company is large and we do talk), that...is definitely the case. 

The benefits package is nice but leaves a lot to be desired when work hours aren't respected. Maternity leave for mothers is great until mothers are still pressured or feel bothered by upper management to do daily check ins. ""COVID flex time"" as I'll call it based on the company memo that was sent out, is given as lip service but when someone in your family is effected by the pandemic - suicide, healthcare workers, general anhedonia and new severe depression diagnosis are a few I heard -- there is virtually no sympathy given and project deadlines are all that matter. The best parts all come when you onboard, which is nice. The telecommunications stipend, home office setup, and offer to buy back the laptop were all nice. 

Lack of clarity and constant restructuring of departments are par the course and expected. If you're a new hire now, I would quite literally expect that you have a new manager and quite possibly new team by the end of the year due to high turnover. This is every team, though I saw it especially often on cloud services, security, and legal. 

Overall it seems like my experience at Github is pretty typical. You'll find some really awesome peers, coworkers, and management really trying to do the right thing. But overall everyone gets fed up with the entrenched nepotism and lack of oversight (as well as frequent unheard employee complaints) eventually. *shrugs*",2.0,1.0,2.0,2.0,5.0,3.0,1.0,Doesn't Recommend,Positive Outlook,Disapproves of CEO,,,
