featured,covid-19,anonymous,date,time,headline,role,location,status,contract,years,helpful,pros,cons,advice_to_mgmt,main_rating,work_life_balance,culture_and_values,diversity_inclusion,career_opportunities,comp_and_benefits,senior_management,recommends,outlook,CEO_approval,response_date,response_role,response
0,0,0,23 January 2021,09:02:14,Google is good, Programmatic Account Manager,Quarry Bay,"23 January 2021
""Google is good""
5.0
★★★★★
Current Employee ",full-time,,0,Good for its stable environment,Bad for its package and flexibility,,5.0,,,,,,,,,,,,
0,0,1,10 January 2021,18:59:13,Nice employee,,,"10 January 2021
""Nice employee""
5.0
★★★★★
Current Employee ",full-time, more than a year,0,Very nice salary，very nice employer,Very much work and high goal,,5.0,4.0,5.0,4.0,4.0,5.0,3.0,Recommends,Negative Outlook,,,,
0,0,0,28 December 2020,04:01:30,Good, Analyst,Hong Kong,"28 December 2020
""Good""
5.0
★★★★★
Former Employee ",full-time,,0,Very very good place to work and learn,Nothing to mention much here,,5.0,,,,,,,,,,,,
0,0,0,21 December 2020,14:45:32,Good, Software Engineer,,"21 December 2020
""Good""
5.0
★★★★★
Current Employee ",full-time,,0,"Greate people, great tech, wlb",Impact is less comparing to workiing in smaller companies,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO,,,
0,0,0,26 October 2020,22:48:32,Relax, Internship,Hong Kong,"26 October 2020
""Relax""
4.0
★★★★★
Current Employee ",part-time,,0,"Relax working, Great welfare, Great colleague","Too relax, Learn slowly, Not challenging",,4.0,,,,,,,,,,,,
0,0,0,23 October 2020,23:46:28,Good benefits and flexible working arrangement, Systems Analyst,Hong Kong,"23 October 2020
""Good benefits and flexible working arrangement""
4.0
★★★★★
Current Employee ",full-time, more than a year,0,Good senior management and employment benefits.,Many meetings with global team.,,4.0,3.0,4.0,4.0,4.0,3.0,3.0,,,,,,
0,0,1,23 September 2020,00:56:10,Reasonably good,,,"23 September 2020
""Reasonably good""
4.0
★★★★★
Former Employee ",full-time,,0,Good salary and good life balance,I can't think of one honestly,,4.0,,,,,,,,,,,,
0,0,0,18 September 2020,08:22:05,Great company, Account Manager,,"18 September 2020
""Great company""
4.0
★★★★★
Current Employee ",full-time,,0,"Talented people - smart, innovative, creative",Company is getting larger and culture is somewhat changing,,4.0,,,,,,,Recommends,Positive Outlook,Approves of CEO,,,
0,0,0,29 August 2020,22:22:19,Great, Software Engineer(Internship),,"29 August 2020
""Great""
5.0
★★★★★
Former Employee ",full-time, less than a year,0,"Good work environment, very helpful","No specific cons, pretty good",,5.0,5.0,5.0,,5.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO,,,
0,0,0,24 August 2020,03:55:55,Good, Senior Software Engineer,Hong Kong,"24 August 2020
""Good""
3.0
★★★★★
Former Employee ",full-time,,0,Good food all year round,Not such great food at other times,,3.0,,,,,,,,,,,,
0,0,0,10 June 2020,02:18:49,decent, Software Engineer,,"10 June 2020
""decent""
4.0
★★★★★
Former Employee ",full-time,,0,well-paid salary and delicious food,promotion is not easy enough,,4.0,5.0,4.0,,4.0,5.0,3.0,Recommends,Neutral Outlook,No Opinion of CEO,,,
0,0,0,3 June 2020,21:00:34,lack of innovation, Research Engineer,,"3 June 2020
""lack of innovation""
4.0
★★★★★
Former Employee ",full-time,,0,good salary and not too much workload,"much politics, not focus on research and development",,4.0,4.0,4.0,,4.0,4.0,4.0,Recommends,Positive Outlook,,,,
0,0,0,17 April 2020,06:42:17,Great, Game Designer,,"17 April 2020
Helpful (1)
""Great""
5.0
★★★★★
Former Employee ",full-time,,1,"Great salary, good environment and fantastic food","Limited middle chances, hope can get more chances to level up besides skills but more than other talented.",,5.0,5.0,5.0,,5.0,5.0,5.0,,,,,,
0,0,0,16 March 2020,08:34:24,Good place to work, Front End Developer,,"16 March 2020
""Good place to work""
5.0
★★★★★
Current Employee ",full-time,,0,working place is good and have food place,sometimes is hard and overtime,,5.0,,,,,,,,,,,,
0,0,1,18 November 2019,21:30:58,Product Community Manager - Nest,,,,full-time,,0,Get involved in multiple regions manufacturing aspects,Need to handle multiple products at sametime,,5.0,4.0,3.0,,5.0,4.0,5.0,Recommends,Positive Outlook,Approves of CEO,,,
0,0,1,13 October 2019,12:20:09,nice,,,"13 October 2019
""nice""
4.0
★★★★★
Current Employee ",full-time,,0,"- good culture
- smart teammate
- place to grow","- long working time
- long working time",,4.0,,,,,,,,,,,,
0,0,1,22 June 2019,19:25:01,Service provider,,,"22 June 2019
""Service provider""
4.0
★★★★★
Former Employee ",full-time,,0,Good atmosphere in USA and oversea,Longjour and no food provide,,4.0,4.0,3.0,,4.0,3.0,3.0,Recommends,Positive Outlook,No Opinion of CEO,,,
0,0,1,8 April 2019,03:18:34,sde,,,"8 April 2019
""sde""
4.0
★★★★★
Former Employee ",full-time,,0,"nice workplace, food, team, job content,","too large, hard to manage",,4.0,,,,,,,,,,,,
0,0,1,8 March 2019,07:10:55,Ad online specialist,,,"8 March 2019
""Ad online specialist""
2.0
★★★★★
Current Employee ",full-time,,0,"free lunch, great name, show-off",boring dull very boring dull,,2.0,1.0,1.0,,1.0,5.0,1.0,Doesn't Recommend,Negative Outlook,No Opinion of CEO,,,
0,0,0,11 September 2018,23:33:50,Very demanding,,,,,,0,Lovely environment to work in,Sometimes there is too much competition,,4.0,4.0,5.0,,3.0,3.0,4.0,Doesn't Recommend,Positive Outlook,Approves of CEO,,,
0,0,0,25 April 2018,01:02:47,Great Company to enter in, Account Manager,Hong Kong,"25 April 2018
""Great Company to enter in""
5.0
★★★★★
Former Employee ",full-time, more than 5 years,0,"1. Great Benefit
2. Salary is good , but you need to add benefit to your package then feel package is competitive","1. Not good for new grade, since in Google promotion is not easy.
2. Big company now , so what you work is a very small portion of the big picture.",,5.0,4.0,5.0,,4.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO,,,
0,0,1,29 October 2017,07:05:02,OS,,,"29 October 2017
""OS""
5.0
★★★★★
Current Employee ",full-time,,0,good compensation & benefits. work & life balance,career development is relatively slow.,,5.0,4.0,4.0,,4.0,5.0,4.0,Recommends,Positive Outlook,Approves of CEO,,,
0,0,1,6 June 2017,10:53:03,good company to learn and develop,,,"6 June 2017
Helpful (1)
""good company to learn and develop""
5.0
★★★★★
Former Employee ",full-time, more than a year,1,people are smart and always ready for help,no special comments for cons,,5.0,,,,,,,,,,,,
0,0,0,20 January 2017,03:47:50,Experience at Google Shanghai,,,,,,0,"Good working environment, good food.",The company is too big.,,4.0,,,,,,,,,,,,
0,0,1,19 November 2016,03:49:17,Analyst,,,"19 November 2016
""Analyst""
5.0
★★★★★
Current Employee ",full-time,,0,"a lot of flexibilities, culture is quite good,",Google is getting too big,career development and promotion decision should be improved,5.0,4.0,4.0,,4.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO,,,
0,0,0,14 September 2016,01:03:24,big company,,,,,,1,big platform and great company,"no freedom, hard to be promoted",,4.0,,,,,,,,,,,,
0,0,1,7 June 2016,00:22:57,Google programmer,,,"7 June 2016
""Google programmer""
5.0
★★★★★
Former Employee ",full-time,,0,Great food and relaxed environment,Unsocial environment where it is difficult to get promoted due to company politics,,5.0,,,,,,,,,,,,
0,0,0,7 May 2016,08:16:14,Account Strategist,,Hong Kong,,,,1,Nice working environment. Smart colleagues. Systematic.,Benefits of Contractor is not good. Not easy to convert to Full Time.,,4.0,2.0,4.0,,3.0,3.0,3.0,Recommends,,,,,
0,0,1,6 April 2016,05:19:20,Working at Google,,,"6 April 2016
Helpful (3)
""Working at Google""
4.0
★★★★★
Current Employee ",full-time,,3,"You get to work with the most talented people in the world and this is amazing. Besides, the company takes care of almost everything for you and it makes life easier for employees.","Compared with start-ups, I think that the flexibility is not as good. For most of the time, you can only do a small piece of work for many time and sometimes it gets bored.","I think employees should be given more flexibility in choosing what to do and given more chances of shifting. Moreover, the salary should get more attractive compared to start-ups.",4.0,,,,,,,,,,,,
0,0,0,25 February 2016,21:31:01,Account Manager, Account Manager,Hong Kong,"25 February 2016
Helpful (1)
""Account Manager""
5.0
★★★★★
Former Employee ",full-time, more than a year,1,"Great people with amazing ideas, a lot of opportunities to learn and develop your carrer.","Long hours, stressful at times.",,5.0,3.0,5.0,,4.0,5.0,4.0,Recommends,Positive Outlook,Approves of CEO,,,
0,0,1,22 February 2016,00:16:16,great,,,"22 February 2016
""great""
5.0
★★★★★
Current Employee ",full-time,,0,"Pros are:
Smart people yet humble
Great work ethics
Very good perks and they always surprise you over and over again .
A lot of High impacting projects for a large scale company like Google.","Google has so many intelligent people, it's hard to prove your skills
And so intelligent that not many people want to listen other opinion, except for those who are in higher position than them 
Google took us a lots of time",i love working at google and it always seems like i am important so i dont really have any advice for management,5.0,5.0,5.0,,5.0,5.0,5.0,Recommends,Neutral Outlook,Approves of CEO,,,
