featured,covid-19,anonymous,date,time,headline,role,location,status,contract,years,helpful,pros,cons,advice_to_mgmt,main_rating,work_life_balance,culture_and_values,diversity_inclusion,career_opportunities,comp_and_benefits,senior_management,recommends,outlook,CEO_approval,response_date,response_role,response
0,0,0,31 December 2020,07:55:35,HKA pilot review, Airline Pilot (Captain),Hong Kong,"31 December 2020
""HKA pilot review""
5.0
★★★★★
Current Employee ",full-time, more than 5 years,0,Great work athmosphere(up to 2020),"Roster (un)flexibility, low salary(for the industry and city)",,5.0,3.0,5.0,5.0,5.0,1.0,2.0,Recommends,Negative Outlook,No Opinion of CEO,,,
0,0,0,10 January 2021,21:23:41,Good work for the mainland Chinese, Project Manager,Hong Kong,"10 January 2021
""Good work for the mainland Chinese""
4.0
★★★★★
Former Employee ",full-time, more than 3 years,0,"Good perks, eg free air tickets.","Complicated corporate culture, eg a mixture of cultures among HK and China Mainland companies.",,4.0,4.0,4.0,4.0,4.0,4.0,4.0,Recommends,Neutral Outlook,Disapproves of CEO,,,
0,0,0,9 January 2021,09:07:52,Intern, Internship,Aberdeen,"9 January 2021
""Intern""
4.0
★★★★★
Former Employee ",part-time,,0,Financial practices on cost accounting team,Small company and not in good time,,4.0,,,,,,,,,,,,
0,0,0,12 January 2021,03:12:46,Former company, Flight Attendant,Hong Kong,"12 January 2021
""Former company""
3.0
★★★★★
Former Employee ",full-time,,0,Flexible working time and good colleagues,Unstable job especially during COVID,,3.0,,,,,,,,,,,,
0,0,0,29 December 2020,05:22:44,the pay is too low, Human Resources Supervisor,,"29 December 2020
""the pay is too low""
3.0
★★★★★
Former Employee ",full-time, more than 3 years,0,"Friendly Colleagues, staff discount air ticket","Low pay, Unstable, Chinese Culture, many mainlanders",,3.0,4.0,2.0,3.0,3.0,2.0,3.0,,,,,,
0,0,0,25 December 2020,19:54:14,Quiet okay, Intern,Hong Kong,"25 December 2020
""Quiet okay""
3.0
★★★★★
Former Employee ",full-time, less than a year,0,Good colleagues and happy working environment,poor management structure and far working location,N/A,3.0,3.0,3.0,3.0,3.0,3.0,3.0,Doesn't Recommend,Neutral Outlook,No Opinion of CEO,,,
0,0,0,11 December 2020,03:20:34,N/A, Human Resources Business Partner,Hong Kong,"11 December 2020
""N/A""
5.0
★★★★★
Current Employee ",full-time,,0,"good colleagues, provide development opportunity",Chinese Management style / financial status,more communication,5.0,5.0,3.0,2.0,3.0,3.0,2.0,Recommends,Negative Outlook,Disapproves of CEO,,,
0,0,0,24 December 2020,04:26:58,Not recommended, Senior Purser,Hong Kong,"24 December 2020
""Not recommended""
2.0
★★★★★
Former Employee ",full-time,,0,"Discount on travel tickets, operating route mainly Asia","Chinese culture management, without treasuring the frontline employee",,2.0,3.0,2.0,2.0,3.0,3.0,1.0,Doesn't Recommend,Neutral Outlook,,,,
0,0,0,14 December 2020,07:48:56,Great company, Officer,Hong Kong,"14 December 2020
""Great company""
2.0
★★★★★
Former Employee ",full-time,,0,Low effort and high return if you are in the right crowd.,"Chaotic, inconsistence strategies and management.",,2.0,,,,,,,,,,,,
0,1,0,"14 December 2020
COVID-19",18:30:54,not worth for this company, Flight Attendant,Hong Kong,,full-time,,0,team work in company is good,company no benifit during covid 19,,2.0,,,,,,,,,,,,
0,0,0,7 December 2020,15:56:54,Poor Management, Crew Control,Hong Kong,"7 December 2020
""Poor Management""
3.0
★★★★★
Current Employee ",full-time,,0,,,,3.0,3.0,3.0,3.0,2.0,3.0,2.0,No Opinion of CEO,,No Opinion of CEO,,,
0,0,0,11 November 2020,09:12:42,good chance to explore the world, Cabin Crew,Hong Kong,"11 November 2020
""good chance to explore the world""
4.0
★★★★★
Current Employee ",full-time,,0,a chance to work and meet with different people with different culture,lack of career path for cabin crew,,4.0,5.0,4.0,4.0,2.0,2.0,3.0,Recommends,Neutral Outlook,No Opinion of CEO,,,
0,0,0,25 November 2020,05:58:46,cabin crew, Flight Purser,,"25 November 2020
""cabin crew""
3.0
★★★★★
Former Employee ",full-time, more than 8 years,0,friendly and nice crew members,"Poor management, keep changing standards and policies",,3.0,3.0,3.0,2.0,3.0,3.0,1.0,Doesn't Recommend,Neutral Outlook,Disapproves of CEO,,,
0,0,0,3 November 2020,20:46:29,More than just a job, Assistant Manager,Hong Kong,"3 November 2020
""More than just a job""
4.0
★★★★★
Former Employee ",full-time,,0,Lots of exposure on different areas of work. Comprehensive training.,Limited resources hinder development of the company.,,4.0,,,,,,,,,,,,
0,0,0,16 November 2020,01:10:47,Go to another airlines, Flight Attendant,Hong Kong,"16 November 2020
""Go to another airlines""
2.0
★★★★★
Former Employee ",full-time,,0,Flight patterns were alright and long stay once a while,"Quality of people is low, esp management level",,2.0,,,,,,,,,,,,
0,0,1,3 November 2020,06:31:10,Can try if you want,,,"3 November 2020
""Can try if you want""
3.0
★★★★★
Current Employee ",full-time,,0,"Co- worker there are pretty nice 
Colleagues are generally supportive","No collaboration between various department 
Weak social media promotion",,3.0,4.0,3.0,3.0,3.0,3.0,2.0,,,,,,
0,0,0,14 October 2020,21:02:28,HR, Human Resources Business Partner,Hong Kong,"14 October 2020
""HR""
3.0
★★★★★
Current Employee ",full-time,,0,happy in the company area,low salary among different teammates,,3.0,,,,,,,,,,,,
0,0,0,13 October 2020,21:48:40,Good as graduate job, Cabin Crew,Hong Kong,"13 October 2020
""Good as graduate job""
3.0
★★★★★
Current Employee ",full-time,,0,Chance to explore the world,Salary cant catch up with the inflation,,3.0,5.0,3.0,4.0,4.0,4.0,3.0,Recommends,Neutral Outlook,No Opinion of CEO,,,
0,0,0,26 September 2020,07:58:05,Poor management system, Flight Attendant,,"26 September 2020
""Poor management system""
2.0
★★★★★
Former Employee ",full-time, more than a year,0,"work on the airplane , can go everywhere around the world","Poor management system, management not speak for frontline, only thinking of Reduce frontline's salary and welfare",,2.0,2.0,1.0,,3.0,2.0,1.0,Doesn't Recommend,Neutral Outlook,No Opinion of CEO,,,
0,0,0,19 September 2020,21:58:49,Don't work in this company, Flight Attendant,Hong Kong,"19 September 2020
""Don't work in this company""
3.0
★★★★★
Former Employee ",full-time, more than 3 years,0,Travel around the world and expand your vision,employees made redundant and they forgot the works you have done.,,3.0,5.0,4.0,,3.0,2.0,1.0,Doesn't Recommend,Negative Outlook,Disapproves of CEO,,,
0,0,0,1 September 2020,09:17:03,Great company, Intern,Hong Kong,"1 September 2020
""Great company""
5.0
★★★★★
Current Employee ",part-time,,0,staff are willing to teach,"far away, not convenience to there",,5.0,,,,,,,,,,,,
0,0,0,3 September 2020,21:21:32,"Nice workers, but corrupted malaysian management", Airline Pilot,Hong Kong,"3 September 2020
""Nice workers, but corrupted malaysian management""
1.0
★★★★★
Former Employee ",full-time, more than 3 years,0,"Nice network, fleet pilots and cabin crew","Chinese and Malaysian management, corruption",Learn about what corruption is,1.0,2.0,1.0,,2.0,3.0,1.0,Doesn't Recommend,Negative Outlook,Disapproves of CEO,,,
0,0,0,5 August 2020,08:24:05,Planning Engineer, Engineer,Hong Kong,"5 August 2020
""Planning Engineer""
2.0
★★★★★
Current Employee ",full-time, more than 3 years,0,Less work pressure and less workload,Less promotion chance and less further learning,,2.0,4.0,2.0,,2.0,2.0,2.0,Recommends,Positive Outlook,Approves of CEO,,,
0,0,0,5 August 2020,02:21:55,good environment, Airline Pilot,Hong Kong,"5 August 2020
""good environment""
3.0
★★★★★
Current Employee ",full-time,,0,"nice and relaxed
good city and location",lack of information from management,,3.0,3.0,2.0,,2.0,2.0,2.0,Doesn't Recommend,Negative Outlook,No Opinion of CEO,,,
0,0,0,3 August 2020,05:23:38,HR department (HRA) is a joke. A lot of clowns hired in this junky department, Supervisor,Hong Kong,"3 August 2020
""HR department (HRA) is a joke. A lot of clowns hired in this junky department""
2.0
★★★★★
Former Employee ",full-time,,0,Good staff discount to plane tickets,"Poor HR management, hired a lot of unqualified and cocky staff. Truly a disgrace.",,2.0,,,,,,,,,,,,
0,0,0,29 July 2020,07:18:04,A cheerful workplace :), Flight Attendant,Hong Kong,"29 July 2020
""A cheerful workplace :)""
3.0
★★★★★
Current Employee ",full-time, more than 3 years,0,"Colleagues are very nice and helpful, mostly around early 20s. No working pressure",Management staff is always low at responding to cabin crew's issues,,3.0,5.0,4.0,,3.0,3.0,2.0,Doesn't Recommend,Negative Outlook,,,,
0,0,0,26 July 2020,05:49:02,i, Manager Customer Experience,Hong Kong,"26 July 2020
""i""
3.0
★★★★★
Former Employee ",full-time, more than 3 years,0,on time off duty and light work load,"colleagues unhelpful, poor system support",,3.0,,,,,,,,,,,,
0,0,0,3 July 2020,01:51:15,Growing airlines, Business Analyst,Hong Kong,"3 July 2020
""Growing airlines""
5.0
★★★★★
Current Employee ",full-time,,0,"- good chance for exploring aviation
- dynamic working environment",- affected by global aviation environment,,5.0,,,,,,,,,,,,
0,0,1,16 June 2020,23:54:27,Good people,,,"16 June 2020
""Good people""
4.0
★★★★★
Current Employee ",full-time,,0,The people and the benefits,"The location might be a be far, the culture",,4.0,5.0,4.0,,4.0,3.0,4.0,,,,,,
0,0,0,28 May 2020,12:25:37,The avi, Flight Attendant,Hong Kong,"28 May 2020
""The avi""
4.0
★★★★★
Current Employee ",full-time,,0,I love my job. Somehow would still like to try something new.,"The aviation industry is good, but still would like to look for a place to personal growth",,4.0,,,,,,,,,,,,
0,0,0,11 June 2020,22:29:45,A company that doesn’t value its employees, Flight Attendant,,"11 June 2020
""A company that doesn’t value its employees""
2.0
★★★★★
Former Employee ",full-time, more than a year,0,"Long outport layover 
Nice colleagues among flight attendant","Underpay
Many non-sense tests / appraisal to FA",,2.0,2.0,1.0,,1.0,1.0,1.0,Doesn't Recommend,Negative Outlook,,,,
0,0,0,17 April 2020,00:42:52,Challenging Time, Safety and Emergency Procedure Trainer (Supervisor),Hong Kong,"17 April 2020
""Challenging Time""
3.0
★★★★★
Current Employee ",full-time,,0,Financial crisis since years ago,Still manage to still in operation despite the lack of passengers,,3.0,3.0,3.0,,3.0,2.0,3.0,Doesn't Recommend,Negative Outlook,No Opinion of CEO,,,
0,0,0,29 January 2020,05:57:48,Come if you really interested aviation, Officer,Hong Kong,"29 January 2020
""Come if you really interested aviation""
4.0
★★★★★
Current Employee ",full-time, more than a year,0,"5 Sets free tickets, working at new building",Mainland Management which some are using mainland style to operate HX.,,4.0,3.0,4.0,,3.0,4.0,2.0,Recommends,Neutral Outlook,No Opinion of CEO,,,
0,0,0,20 December 2019,10:24:08,Get better management and stop hiring leftovers from other companies, Flight Attendant,Hong Kong,"20 December 2019
""Get better management and stop hiring leftovers from other companies""
3.0
★★★★★
Former Employee ",full-time, more than a year,0,"Great co-workers, most of them are nice and hard working , willing to teach when you are new","Immature office staff and company culture, lack of manner when commnicating internally esp. crew
Zero care for internal customers management or marketing 
Pulling out new policies without thinking deep results in endless adjustments and blame frontline not keeping up with the newest standard /version",,3.0,3.0,1.0,,3.0,3.0,1.0,Doesn't Recommend,,,,,
0,0,1,29 October 2019,06:47:26,Mr,,Sai Kung,"29 October 2019
""Mr""
4.0
★★★★★
Current Employee ",full-time, more than 10 years,0,High paid good medical benefits,High work pressure demanding boss,,4.0,3.0,3.0,,3.0,3.0,3.0,Recommends,Positive Outlook,Approves of CEO,,,
0,0,0,3 November 2019,03:50:15,Cabin Crew, Cabin Crew,Hong Kong,"3 November 2019
""Cabin Crew""
3.0
★★★★★
Current Employee ",full-time, more than 3 years,0,Get promoted easily compare to other airlines,Undeveloped training and management level,,3.0,3.0,1.0,,3.0,1.0,1.0,Approves of CEO,,Approves of CEO,,,
0,0,1,24 October 2019,22:14:02,"Officer, Ancillary Revenue",,Chek Lap Kok,"24 October 2019
""Officer, Ancillary Revenue""
3.0
★★★★★
Current Employee ",full-time, more than a year,0,Free and discount ticket for employee,"office is near the HKIA, location too far",,3.0,3.0,2.0,,3.0,3.0,2.0,Doesn't Recommend,Neutral Outlook,No Opinion of CEO,,,
0,0,1,24 September 2019,21:57:06,Cabin Crew,,,"24 September 2019
""Cabin Crew""
2.0
★★★★★
Former Employee ",full-time, more than 3 years,0,"Flexible working hours
Nice colleagues","Poor management 
Poor career path",,2.0,5.0,1.0,,3.0,3.0,1.0,Doesn't Recommend,Negative Outlook,Disapproves of CEO,,,
0,0,1,2 September 2019,06:32:00,good and employee friendly working environment,,,"2 September 2019
""good and employee friendly working environment""
3.0
★★★★★
Current Employee ",full-time,,0,"colleagues are generally nice to work with, great benefits","long working hours and mostly OT
low salary
micro management",,3.0,2.0,3.0,,3.0,3.0,3.0,Doesn't Recommend,Negative Outlook,Disapproves of CEO,,,
0,0,1,14 August 2019,04:35:00,Officer,,,"14 August 2019
""Officer""
5.0
★★★★★
Former Employee ",full-time,,0,Pros is Energetic and talented,Cons is Bureaucratic and stagnant,,5.0,4.0,4.0,,3.0,3.0,3.0,,,,,,
0,0,1,2 August 2019,06:27:46,Revenue Management Officer,,,"2 August 2019
""Revenue Management Officer""
4.0
★★★★★
Former Employee ",full-time,,0,"Nice team, good staffs and work environment.",Need to OT and must be someone very sensitive to data analysis.,= ) love the team,4.0,3.0,3.0,,3.0,4.0,3.0,Recommends,Positive Outlook,Approves of CEO,,,
0,0,1,5 August 2019,20:52:35,Not recommended,,,"5 August 2019
""Not recommended""
2.0
★★★★★
Current Employee ",full-time,,0,"Good teammates
relativelry good benefits of the free tickets (5 sets a year)","the company culture is not opened at all;
low salary;
no standard SOP for operation",,2.0,3.0,1.0,,1.0,2.0,1.0,Doesn't Recommend,Negative Outlook,No Opinion of CEO,,,
0,0,1,16 July 2019,03:26:15,An experience,,,"16 July 2019
""An experience""
3.0
★★★★★
Former Employee ",full-time,,0,They've got the nice toys and alot to learn,Management is a total mess,Clean yourselves up,3.0,3.0,1.0,,2.0,1.0,1.0,Doesn't Recommend,Neutral Outlook,No Opinion of CEO,,,
