featured,covid-19,anonymous,date,time,headline,role,location,status,contract,years,helpful,pros,cons,advice_to_mgmt,main_rating,work_life_balance,culture_and_values,diversity_inclusion,career_opportunities,comp_and_benefits,senior_management,recommends,outlook,CEO_approval,response_date,response_role,response
0,0,0,18 January 2021,13:57:25,Good company, Senior Engineer,Sha Tin,"18 January 2021
""Good company""
5.0
★★★★★
Former Employee ",full-time, more than a year,0,Good environment and colleagues. Good work-life balance,Far away from the city centre.,,5.0,5.0,4.0,5.0,4.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO,,,
0,0,0,8 January 2021,00:51:27,Good, Assistant Manager,,"8 January 2021
""Good""
4.0
★★★★★
Current Employee ",full-time, more than a year,0,"There is good working environment in Science Park, and good opportunity to work in a sizable company","Salary is comparatively lower than the market, procedures are complicate and will always change.",,4.0,3.0,3.0,3.0,3.0,4.0,3.0,,,,,,
0,0,0,8 January 2021,03:53:41,AIBD, Senior Engineer,Sha Tin,"8 January 2021
""AIBD""
3.0
★★★★★
Current Employee ",full-time, more than a year,0,have time to explorer difference technology,"low salary, bad organized work flow",,3.0,4.0,2.0,3.0,3.0,4.0,1.0,,,,,,
0,0,0,23 December 2020,17:14:18,Great towards a few specific demographic, Project Intern,Sha Tin,"23 December 2020
""Great towards a few specific demographic""
4.0
★★★★★
Former Employee ",full-time, more than a year,0,Big brand name among some sectors. You touch all sorts of new tech. People are usually nice to each other. Great work life balance most of the time. Forgiving for people to set foot in as a new comer to the industry.,"You manager dictates a lot of stuff. Sometimes you see favoritism. While my manager was great it all depends on which team and who you'll be working for. 
Management is very detached from the reality that regular workers are facing. Project outcomes are often a hit or miss.
Relatively low paying.","Since the lavish work style the company has accumulated a lot ""retirement waiting"" workers. And many new work forces left due to lack of career path. Over-time you work forces will be too old for new tech and hurt the industry as a whole with a brand with such a big momentum - Full disclaimer - I have no good solution for it. Not a big red flag but something to keep in mind and keep expectations in check.",4.0,5.0,4.0,4.0,1.0,3.0,2.0,Recommends,Positive Outlook,No Opinion of CEO,,,
0,0,0,24 December 2020,01:10:54,looser company, Senior Lead Engineer,,"24 December 2020
""looser company""
4.0
★★★★★
Current Employee ",full-time, more than 3 years,0,"Basically, you only need to do your job, and you do not need to do other things too much. In addition, the boss is not always pushy.","Not industrial or academic. So, if you want to make a big difference in these two areas, there's no hope.",,4.0,,,,3.0,,,,,,,,
0,0,0,19 January 2021,20:19:21,l, Engineer,Hong Kong,"19 January 2021
""l""
1.0
★★★★★
Former Employee ",full-time, more than a year,0,Good working environment in science park,Need to communicate using Mandarin,,1.0,2.0,2.0,3.0,2.0,3.0,1.0,Recommends,Neutral Outlook,No Opinion of CEO,,,
0,0,0,10 December 2020,21:30:20,Applied Research Organization, Senior Director,Hong Kong,"10 December 2020
""Applied Research Organization""
4.0
★★★★★
Current Employee ",full-time,,0,Applied Research in ICT areas,Limited market size of Hong Kong,Hire credible researcher in top position,4.0,4.0,3.0,3.0,4.0,3.0,1.0,Recommends,Neutral Outlook,Disapproves of CEO,,,
0,0,0,26 November 2020,20:27:37,Amicable company, Senior Engineer,Hong Kong,"26 November 2020
""Amicable company""
4.0
★★★★★
Current Employee ",full-time, more than 3 years,0,"The company is positioned between industry and academia, and you can find a place where you can make a difference on either side.
The people here are very friendly and can communicate well.","Similarly, cross-industry and academia make it impossible to do the best in both directions.",,4.0,4.0,3.0,5.0,5.0,3.0,3.0,Recommends,Neutral Outlook,Approves of CEO,,,
0,0,0,9 December 2020,13:59:23,impression, Lead Engineer,Hong Kong,"9 December 2020
""impression""
2.0
★★★★★
Former Employee ",full-time, more than 5 years,0,"good medical benefit, relatively stable","high turnover rate, low profile",,2.0,3.0,2.0,2.0,3.0,3.0,2.0,,,,,,
0,0,0,2 December 2020,07:27:11,Life in there, Engineer,,"2 December 2020
""Life in there""
2.0
★★★★★
Current Employee ",full-time,,0,5 days work with Regular working hour.,Lack of career progression and no promotion.,,2.0,,,,,,,,,,,,
