featured,covid-19,anonymous,date,time,headline,role,location,status,contract,years,helpful,pros,cons,advice_to_mgmt,main_rating,work_life_balance,culture_and_values,diversity_inclusion,career_opportunities,comp_and_benefits,senior_management,recommends,outlook,CEO_approval,response_date,response_role,response
0,0,0,17 January 2021,07:30:18,Good University and nice environment, Research Assistant Professor,Hong Kong,"17 January 2021
""Good University and nice environment""
5.0
★★★★★
Former Employee ",full-time, more than 3 years,0,Good University and nice environment,not easy to attract international students,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,,,,
0,0,0,21 January 2021,04:14:23,3.5, Assistant Officer,Hong Kong,"21 January 2021
""3.5""
4.0
★★★★★
Former Employee ",full-time,,0,Friendly colleagues and supervisors with collaborative working environment,Lack of room for career development,,4.0,5.0,3.0,4.0,3.0,4.0,3.0,Recommends,Neutral Outlook,No Opinion of CEO,,,
0,0,0,13 January 2021,23:47:09,Research assistant, Research Assistant,Hong Kong,"13 January 2021
""Research assistant""
5.0
★★★★★
Current Employee ",full-time,,0,Flexible working time and working environment,sometimes you need to do Urgent assignment,,5.0,,,,,,,,,,,,
0,0,0,10 January 2021,23:22:26,Juicy research experience, Research Assistant,Hong Kong,"10 January 2021
""Juicy research experience""
4.0
★★★★★
Former Employee ",full-time, less than a year,0,Gain valuable research experience based on the supervisor you follow.,Think carefully if you want to pursue an academic career or not,,4.0,5.0,4.0,3.0,4.0,4.0,3.0,Recommends,Positive Outlook,Approves of CEO,,,
0,0,0,20 January 2021,18:11:35,Depend on your supervisor, Research Assistant,Hong Kong,"20 January 2021
""Depend on your supervisor""
3.0
★★★★★
Current Employee ",full-time,,0,Not much workload at all,working environment is good or not depend on how your boss treat you,,3.0,4.0,2.0,4.0,2.0,2.0,3.0,Doesn't Recommend,Neutral Outlook,No Opinion of CEO,,,
0,0,0,6 January 2021,11:32:05,A good company, Assistant Technical Officer,Hong Kong,"6 January 2021
""A good company""
5.0
★★★★★
Current Employee ",full-time,,0,"• Classrooms and Function rooms AV equipment: Maintenance, installation and testing.
• Computer hardware and software: Implementation, maintenance and problem solving.
• Equipment upkeep in classrooms, lecture theaters and function rooms: AV facilities set up
and regular inspection.
• Providing consultation services to teaching staff and external users.
• Sufficient services and support were always provided well.
• Write tender document.",Practice make perfect. You need to know your value.,,5.0,3.0,5.0,4.0,5.0,5.0,3.0,Recommends,Positive Outlook,No Opinion of CEO,,,
0,0,0,3 January 2021,18:05:52,In general, Student,Hong Kong,"3 January 2021
""In general""
4.0
★★★★★
Current Employee ",full-time,,0,Overall it’s a caring place,Keep up with the trend in Stem education,,4.0,,,,,,,,,,,,
0,0,0,3 January 2021,06:35:38,-, Project Assistant,Hong Kong,,full-time, less than a year,0,People are really nice with team spirit,All the things are nice and smooth.,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,,,,
0,0,0,15 December 2020,02:12:10,quite fine, Senior Research Assistant,Hong Kong,"15 December 2020
""quite fine""
4.0
★★★★★
Current Employee ",part-time,,0,"flexible work time, nice acadamic environment","not so many peers in your related fields, you are on your own",,4.0,4.0,4.0,4.0,4.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO,,,
0,0,0,7 December 2020,09:18:40,Graduate Research Assistant, Graduate Research Assistant,Hong Kong,"7 December 2020
""Graduate Research Assistant""
5.0
★★★★★
Former Employee ",full-time, more than a year,0,friendly and free working environment,restaurant is not good in school,,5.0,3.0,3.0,3.0,3.0,3.0,3.0,Doesn't Recommend,Neutral Outlook,No Opinion of CEO,,,
0,0,0,3 December 2020,01:52:19,good, Accountant,Hong Kong,"3 December 2020
""good""
5.0
★★★★★
Current Employee ",full-time,,0,good salary and nice people,location too far and relegious,,5.0,,,,,,,,,,,,
0,0,0,27 November 2020,17:46:38,Review, Professor,Hong Kong,"27 November 2020
""Review""
5.0
★★★★★
Current Employee ",full-time,,0,Excellent research and teaching environment,Very competitive and challenging and workload could be heavy,,5.0,,,,,,,,,,,,
0,0,0,27 November 2020,01:09:37,NIL, Senior Lecturer,Hong Kong,"27 November 2020
""NIL""
4.0
★★★★★
Former Employee ",full-time,,0,"Supportive, Resourceful, Friendly, Agility, Flexibility","Not open mind, lack creativity, hierachy, communication",,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,
0,0,0,24 November 2020,22:02:39,Promising University, PhD Student,Hong Kong,"24 November 2020
""Promising University""
5.0
★★★★★
Current Employee ",full-time,,0,Insightful faculties and great research potentials,"relatively poor infrastructure, such as database",,5.0,2.0,4.0,4.0,4.0,3.0,4.0,Recommends,Positive Outlook,No Opinion of CEO,,,
0,0,0,24 November 2020,23:22:48,For fresh graduates who like academics, Senior Research Assistant,Hong Kong,"24 November 2020
""For fresh graduates who like academics""
4.0
★★★★★
Current Employee ",full-time,,0,"good working environment, flexible working time",Lower salary compared to other universities,,4.0,,,,,,,,,,,,
0,1,0,"12 November 2020
COVID-19",02:47:22,Lecturer, Part,Hong Kong,,part-time, more than a year,0,Flexible work arrangements and good salary,Difficulties in covid times with online offline teaching,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,No Opinion of CEO,,,
0,0,1,16 November 2020,21:37:57,two years ra,,"Kowloon City, Kowloon City","16 November 2020
""two years ra""
3.0
★★★★★
Former Employee ",full-time,,0,nice people to work with,low salary and bad lab environment,,3.0,5.0,3.0,4.0,3.0,1.0,3.0,,,,,,
0,0,0,29 October 2020,05:42:40,Nice working environment, Part Time Designer,"Kowloon Tong, Kowloon City","29 October 2020
""Nice working environment""
5.0
★★★★★
Former Employee ",part-time, less than a year,0,A good place to put your creativity into test,"No, I can't think of any",/,5.0,4.0,4.0,4.0,4.0,4.0,4.0,Recommends,Neutral Outlook,No Opinion of CEO,,,
0,0,0,27 October 2020,18:40:50,hkbu, Motion Graphics Designer,Hong Kong,"27 October 2020
""hkbu""
5.0
★★★★★
Current Employee ",full-time,,0,working atmosphere and its location in HK,working hours and the canteen,,5.0,,,,,,,,,,,,
0,0,0,14 October 2020,23:30:39,Great, Intern,"Kowloon Tong, Kowloon City","14 October 2020
""Great""
4.0
★★★★★
Current Employee ",part-time, less than a year,0,"Flexible time and location. 
Good work enviroment",Lack of detailed and specific direction,,4.0,5.0,5.0,5.0,4.0,4.0,4.0,Recommends,Positive Outlook,No Opinion of CEO,,,
0,0,0,20 October 2020,06:23:52,Research Assistant, Research Assistant,"Kowloon Tong, Kowloon City","20 October 2020
""Research Assistant""
3.0
★★★★★
Current Employee ",full-time,,0,"good research experience, good skills training, good mentor",sometime boss will push. need to handle daily stuff not related to research,,3.0,,,,,,,,,,,,
0,0,1,5 October 2020,07:47:14,So so,,,"5 October 2020
""So so""
4.0
★★★★★
Former Employee ",full-time,,0,"Nice environment, never have to work overtime","dull, same work for everyday",,4.0,,,,,,,,,,,,
0,0,0,4 October 2020,01:26:47,safe job position in times of economic crisis, Executive Assistant,"Kowloon Tong, Kowloon City","4 October 2020
""safe job position in times of economic crisis""
5.0
★★★★★
Current Employee ",full-time, more than a year,0,"1. Fair pay
2. Reasonable workload
3. Nice and cooperative colleagues",1. Inefficiency due to complex organization,,5.0,5.0,4.0,4.0,5.0,3.0,3.0,Recommends,Positive Outlook,No Opinion of CEO,,,
0,0,0,27 September 2020,19:44:39,Good place for transition, Research Assistant,Hong Kong,"27 September 2020
""Good place for transition""
3.0
★★★★★
Current Employee ",full-time,,0,Comfortable &safe environment. Mild workload.,Minimum salary & shortest contract period unless you have a generous boss. Poor cafeteria quality.,,3.0,4.0,3.0,,2.0,2.0,2.0,Doesn't Recommend,Positive Outlook,No Opinion of CEO,,,
0,0,0,10 September 2020,22:29:32,Great, Student,Hong Kong,"10 September 2020
""Great""
5.0
★★★★★
Current Employee ",full-time,,0,"Lecturers Friendly, loads of exchange opportunities.",MTR to Uni take 20mins by walk.,,5.0,,,,,,,Recommends,Positive Outlook,Approves of CEO,,,
0,0,0,10 September 2020,01:03:04,no, Senior Research Assistant,"Kwun Tong, Kowloon City","10 September 2020
""no""
4.0
★★★★★
Current Employee ",full-time,,0,good working environments and have a gym and library,the transportation is not that convenient,,4.0,,,,,,,,,,,,
