featured,covid-19,anonymous,date,time,headline,role,location,status,contract,years,helpful,pros,cons,advice_to_mgmt,main_rating,work_life_balance,culture_and_values,diversity_inclusion,career_opportunities,comp_and_benefits,senior_management,recommends,outlook,CEO_approval,response_date,response_role,response
0,0,0,2 December 2020,22:54:18,Associate, Associate,Hong Kong,"2 December 2020
""Associate""
5.0
★★★★★
Former Employee ",full-time,,0,Diversity of employees and friendly employment,Has to be knowledgable and know your area,,5.0,,,,,,,,,,,,
0,0,1,6 January 2021,03:10:33,Big company,,,"6 January 2021
""Big company""
4.0
★★★★★
Former Employee ",full-time,,0,"good benefits, fair, big name",repetitive work and some time ot,,4.0,4.0,5.0,4.0,3.0,4.0,4.0,,,,,,
0,0,0,6 January 2021,05:28:39,"Plenty of room for improvement, but they look after their employees", Post Trade,Hong Kong,"6 January 2021
""Plenty of room for improvement, but they look after their employees""
4.0
★★★★★
Current Employee ",full-time, more than a year,0,Uniquely positioned as a bridge between China and the West. Great people.,Antiquated processes. Antiquated thinking. The 'groupthink' default setting seems to be to do nothing.,,4.0,4.0,3.0,1.0,4.0,5.0,2.0,Recommends,Positive Outlook,Approves of CEO,,,
0,0,0,10 January 2021,22:45:36,Not a very good experience, Associate,Hong Kong,"10 January 2021
""Not a very good experience""
3.0
★★★★★
Current Employee ",full-time, more than 5 years,0,Every year it gives high bonus,Every month it gives low salary,,3.0,1.0,3.0,3.0,2.0,3.0,1.0,Doesn't Recommend,Negative Outlook,Disapproves of CEO,,,
0,0,0,4 January 2021,06:11:49,Associate, Associate,Hong Kong,"4 January 2021
""Associate""
3.0
★★★★★
Current Employee ",full-time, less than a year,0,Stable don’t have to worry about job,Very hard to get promotion,,3.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,,,
0,0,0,12 January 2021,09:15:19,Not recommend to join, Senior Systems Engineer,Hong Kong,"12 January 2021
""Not recommend to join""
1.0
★★★★★
Former Employee ",full-time, more than a year,0,"Finical industry , The brand name is big .Good for reference","Huge work load , every weekend & public holiday need to work OT around 9AM to 9PM.
Old management style",,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Doesn't Recommend,Negative Outlook,Disapproves of CEO,,,
0,0,0,14 December 2020,14:26:28,Not that bad, Officer,Hong Kong,"14 December 2020
""Not that bad""
3.0
★★★★★
Current Employee ",full-time, more than a year,0,"New senior management bring in new culture, more flexible 
Good if you are not work under any old pat pat","Many arrogant old pat pat with poor management skills, refuse to make changes 
Many old pat pat with Low productivity
Hierarchy",,3.0,3.0,2.0,3.0,4.0,4.0,3.0,,,,,,
0,0,0,15 October 2020,03:03:05,Challenging place to work, Systems Analyst,Hong Kong,"15 October 2020
""Challenging place to work""
4.0
★★★★★
Current Employee ",full-time,,0,"challenging, self-learn, team work, specialised role, high paid","harsh, work overtime, self-isolated, bad location",,4.0,,,,,,,,,,,,
0,0,0,20 October 2020,06:23:41,Good working location, AVP,Hong Kong,"20 October 2020
""Good working location""
3.0
★★★★★
Current Employee ",full-time, more than a year,0,"Nice working environment, nice working location",People not willing to make changes,,3.0,4.0,3.0,4.0,3.0,4.0,3.0,Recommends,Positive Outlook,Approves of CEO,,,
0,0,0,26 September 2020,09:05:56,Stable job but not that good for junior staffs, Officer,Hong Kong,"26 September 2020
""Stable job but not that good for junior staffs""
4.0
★★★★★
Current Employee ",full-time, more than a year,0,"No too much OT, and stable",No training provided and traditional,,4.0,3.0,3.0,,4.0,3.0,3.0,Recommends,Positive Outlook,Approves of CEO,,,
0,0,0,22 October 2020,07:35:59,Avoid working in IT dept at all costs," Assistant Vice President, IT",Hong Kong,"22 October 2020
""Avoid working in IT dept at all costs""
1.0
★★★★★
Former Employee ",full-time, more than 5 years,0,Insurance covers sudden death at work,Old school management in IT where political game play was far more important than being good at the job. Working in their IT department was without a doubt the worst experience in my lifetime. It was a very political and difficult working environment to work in. I would never consider working here in future. Lack of career progression and promotion opportunities at all which really affects the long serving staff. Majority of staff are unfriendly to work with.,Be more genuine to junior people,1.0,1.0,2.0,1.0,1.0,2.0,1.0,Doesn't Recommend,Negative Outlook,No Opinion of CEO,,,
0,0,0,30 September 2020,02:09:30,Nice, Associate,,"30 September 2020
""Nice""
3.0
★★★★★
Former Employee ",full-time,,0,Good benefits and nice environment,Office politics and the boss liked to overwork her staff,,3.0,,,,,,,,,,,,
0,0,0,11 September 2020,17:40:46,"Want to be international, but its Chinese", Associate,,"11 September 2020
""Want to be international, but its Chinese""
4.0
★★★★★
Current Employee ",full-time, more than 5 years,0,"Better than.average package
Good support from company","too many management changes. 
Attempted to be an.international company but it is very chinese in nature.",,4.0,4.0,3.0,,3.0,5.0,3.0,Recommends,Positive Outlook,Approves of CEO,,,
0,0,0,15 September 2020,23:46:48,surveillance, Associate,Central,"15 September 2020
""surveillance""
3.0
★★★★★
Former Employee ",full-time, more than 3 years,0,stable and you can meet some good teammates,Hard to get promotion there.,,3.0,2.0,3.0,,1.0,3.0,1.0,Recommends,Neutral Outlook,No Opinion of CEO,,,
0,0,0,27 August 2020,10:18:47,Good if you are passionate about finance, Management Trainee,Hong Kong,"27 August 2020
""Good if you are passionate about finance""
4.0
★★★★★
Current Employee ",full-time, more than a year,0,"You can get comprehensive exposure to financial market.
Good co-workers",May deal with tedious compliance jobs,,4.0,3.0,5.0,,4.0,4.0,4.0,Recommends,,Approves of CEO,,,
0,0,0,18 August 2020,02:12:02,Associate (Business Analyst), Business Analyst,Central,"18 August 2020
""Associate (Business Analyst)""
4.0
★★★★★
Current Employee ",full-time, more than a year,0,Good benefit and well paid,Work is not easy and tedious,,4.0,4.0,4.0,,4.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO,,,
0,0,0,28 August 2020,04:38:01,Ok, Associate,Hong Kong,"28 August 2020
""Ok""
3.0
★★★★★
Current Employee ",full-time, less than a year,0,Stable bonus regardless of how well company is doing,Lots of restructuring and changes,,3.0,3.0,3.0,,3.0,3.0,3.0,Doesn't Recommend,Positive Outlook,Approves of CEO,,,
