featured,covid-19,anonymous,date,time,headline,role,location,status,contract,years,helpful,pros,cons,advice_to_mgmt,main_rating,work_life_balance,culture_and_values,diversity_inclusion,career_opportunities,comp_and_benefits,senior_management,recommends,outlook,CEO_approval,response_date,response_role,response
0,0,0,20 December 2020,02:07:25,Great, Senior Manager,Hong Kong,"20 December 2020
""Great""
5.0
★★★★★
Current Employee ",full-time,,0,Good pay and very meaningful,Very demanding and very bureaucratic,,5.0,3.0,4.0,4.0,4.0,4.0,4.0,Recommends,Positive Outlook,,,,
0,0,0,20 January 2021,20:08:07,hahaha, Student Nurse,Hong Kong,"20 January 2021
""hahaha""
4.0
★★★★★
Current Employee ",part-time,,0,always hiring nurses and have openings,"long working hours
high pressure
high workload
insufficient support",,4.0,2.0,3.0,2.0,4.0,2.0,3.0,Doesn't Recommend,Neutral Outlook,,,,
0,0,0,21 January 2021,09:17:25,Stable Job, Clerk III,,"21 January 2021
""Stable Job""
4.0
★★★★★
Current Employee ",full-time, less than a year,0,"Clear salary scheme, mostly routine work in admin departments",Low chance to get promoted to management level,Nil,4.0,4.0,3.0,3.0,3.0,4.0,3.0,Recommends,Neutral Outlook,No Opinion of CEO,,,
0,0,0,14 January 2021,19:36:20,Public Hospital of Hong Kong, Senior Medical Technologist,Hong Kong,"14 January 2021
""Public Hospital of Hong Kong""
4.0
★★★★★
Current Employee ",full-time,,0,Good job stability and benefit,As a big public entity not provide enough flexibility,,4.0,2.0,3.0,2.0,4.0,4.0,3.0,Recommends,Positive Outlook,,,,
0,0,0,11 January 2021,06:31:05,Attractive package but at times challenging, Executive Assistant,Hong Kong,"11 January 2021
""Attractive package but at times challenging""
4.0
★★★★★
Former Employee ",full-time, more than 3 years,0,"- Stable job
- Attractive remuneration package
- Good suite of benefits as an employer (dedicated store for HA staff and staff discount for various stores in town)","- Workload is at times demanding
- Culture of overtime working",,4.0,3.0,3.0,,4.0,5.0,4.0,Recommends,Positive Outlook,,,,
0,0,0,20 January 2021,20:12:24,Not the best employer, Registered Nurse,Hong Kong,"20 January 2021
""Not the best employer""
3.0
★★★★★
Current Employee ",full-time,,0,Rather stable. Good for fresh grad,"Busy,hectic,high nurse to patient ratio",,3.0,1.0,2.0,2.0,4.0,3.0,1.0,Doesn't Recommend,Neutral Outlook,Disapproves of CEO,,,
0,0,0,21 January 2021,11:49:37,Not good, Registered Nurse,Hong Kong,"21 January 2021
""Not good""
3.0
★★★★★
Current Employee ",full-time,,0,Busy workload unpaid no work lift balance,Can pick up skills quickly,,3.0,,,,,,,,,,,,
0,0,0,17 January 2021,03:09:17,Health Information Specialist, Health Information Specialist,,"17 January 2021
""Health Information Specialist""
3.0
★★★★★
Former Employee ",full-time, more than 8 years,0,Stable income and work environment,Rigid and top-down management style,,3.0,3.0,3.0,3.0,4.0,4.0,3.0,Recommends,Positive Outlook,Disapproves of CEO,,,
0,0,0,10 January 2021,05:59:04,Luck Depending, Executive Assistant II,Hong Kong,"10 January 2021
""Luck Depending""
3.0
★★★★★
Current Employee ",full-time, less than a year,0,The work are easy to be finished.,"Actually I have heard some EAs have a nice working environment but some don't. As there will actually be no means to fire any employees, there is a place to settle those who are unwelcomed and I am working at a place for them. Assigned work can actually easily be finished but most of the time are annoyed and bluffed by other colleagues. It could be quite stressful.",,3.0,4.0,2.0,3.0,3.0,4.0,2.0,Recommends,Negative Outlook,No Opinion of CEO,,,
0,0,0,4 December 2020,08:44:45,50 vs 50, Hospital Administrator,Hong Kong,"4 December 2020
""50 vs 50""
4.0
★★★★★
Current Employee ",full-time,,0,Nice Colleagues and generally can strike work life balance.,Unfriendly clinical staffs and Micromanagement sometimes.,,4.0,4.0,4.0,4.0,4.0,3.0,3.0,Recommends,Positive Outlook,,,,
0,0,0,27 November 2020,17:15:31,Clinical research, Research Assistant,Hong Kong,"27 November 2020
""Clinical research""
4.0
★★★★★
Current Employee ",full-time,,0,A lot more to learn and stable,Limited upward mobility of position,,4.0,5.0,3.0,3.0,3.0,2.0,3.0,Recommends,Neutral Outlook,,,,
0,0,0,17 November 2020,18:01:51,Demanding but rewarding, Statistician,Hong Kong,"17 November 2020
""Demanding but rewarding""
5.0
★★★★★
Current Employee ",full-time,,0,Having a great impact on decision making,Too much administration work for professional rank,,5.0,4.0,3.0,3.0,5.0,5.0,5.0,,,,,,
0,0,0,4 November 2020,09:19:48,Clinical Exposure, Clinical Psychologist Assistant,Hong Kong,"4 November 2020
""Clinical Exposure""
5.0
★★★★★
Current Employee ",full-time,,0,Hands on experience with clincal cases,Admin work will be inevitable,,5.0,5.0,5.0,3.0,4.0,3.0,3.0,Recommends,Neutral Outlook,,,,
0,0,0,9 December 2020,18:55:09,Good Luck to all of you who are still working there, Registered Nurse,,"9 December 2020
""Good Luck to all of you who are still working there""
1.0
★★★★★
Former Employee ",full-time, more than a year,0,high salary and more annual leave,"Poor working culture: many gossips and sometimes staffs not helping each other during work
Poor HR management: Even after I left the job, documents which should be received by 1 month (employment certificate and Tax Return document) are not sent and I'm still waiting for it.
Not Value Employees' interest: There is rotation programme for RN which they don't ask about employees' wishes and just throw people around where ever they want",,1.0,1.0,1.0,,1.0,2.0,1.0,Doesn't Recommend,,,,,
0,0,0,3 November 2020,17:43:09,work for public health, Analyst Programmer,Hong Kong,"3 November 2020
""work for public health""
4.0
★★★★★
Current Employee ",full-time,,0,"5 days work, more AL for direct contract",secondment bad benefit (e.g. typhoon no pay),,4.0,4.0,4.0,2.0,3.0,4.0,3.0,Recommends,Positive Outlook,,,,
