featured,covid-19,anonymous,date,time,headline,role,location,status,contract,years,helpful,pros,cons,advice_to_mgmt,main_rating,work_life_balance,culture_and_values,diversity_inclusion,career_opportunities,comp_and_benefits,senior_management,recommends,outlook,CEO_approval,response_date,response_role,response
0,0,0,21 January 2021,04:51:59,Great working environment, Analyst Programmer,Hong Kong,"21 January 2021
""Great working environment""
5.0
★★★★★
Former Employee ",full-time, more than a year,0,Seniors and management do care about your personal and career development. Great working environment and opportunities.,"Relatively slow in terms of technological development, but the management is encouraging the adaptation of tech in different departments.",,5.0,4.0,5.0,4.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO,,,
0,0,0,19 January 2021,02:29:21,Not too bad, Manager,Central,"19 January 2021
""Not too bad""
3.0
★★★★★
Current Employee ",full-time,,0,"Work experience exclusive to regulator
Good office location",Can be quite Bureaucratic sometimes,,3.0,3.0,3.0,3.0,2.0,3.0,3.0,,,,,,
0,0,1,12 January 2021,01:16:22,Good Stepping Stone for undergraduates,,,"12 January 2021
""Good Stepping Stone for undergraduates""
3.0
★★★★★
Former Employee ",full-time, less than a year,0,"Achieve work life balancing 
Standard working hours","No return offer 
Learning experience varies among devisions",,3.0,5.0,4.0,5.0,1.0,3.0,4.0,Recommends,Neutral Outlook,,,,
0,0,0,28 December 2020,23:30:11,Good Paid but boring, Senior Officer,Hong Kong,"28 December 2020
""Good Paid but boring""
3.0
★★★★★
Current Employee ",full-time,,0,Good Paid compared with Banks,Boring in terms of job nature,,3.0,,,,,,,,,,,,
0,0,0,10 December 2020,03:16:47,Banking conduct, Coordinator,Hong Kong,"10 December 2020
""Banking conduct""
4.0
★★★★★
Current Employee ",full-time,,0,Good environment and nice colleagues,One two three four five,,4.0,,,,,,,,,,,,
0,0,0,22 December 2020,22:05:59,Clerk, Intern,Hong Kong,"22 December 2020
""Clerk""
3.0
★★★★★
Former Employee ",full-time, less than a year,0,Nice colleagues and supervisors. Good hours,too many compliance and regulations.,,3.0,4.0,3.0,3.0,3.0,3.0,4.0,,,,,,
0,0,0,2 November 2020,08:56:26,intern, Intern,Hong Kong,"2 November 2020
""intern""
3.0
★★★★★
Current Employee ",part-time,,0,for improving the look of resume,not really can learn anything,,3.0,,,,,,,,,,,,
0,0,0,21 October 2020,23:43:04,Student Ambassador, Student Ambassador,Hong Kong,"21 October 2020
""Student Ambassador""
3.0
★★★★★
Current Employee ",part-time, less than a year,0,"Chill, nice coworkers and managers, friendly","Nothing much for learning, assist the daily operation",,3.0,3.0,4.0,5.0,3.0,2.0,2.0,,,,,,
0,0,0,5 October 2020,09:18:42,Economist, Economist,Central,"5 October 2020
""Economist""
4.0
★★★★★
Current Employee ",full-time,,0,Stable Income and job security,Lack of good promotion opportunity,,4.0,,,,,,,,,,,,
0,0,0,30 August 2020,21:27:33,Poor company culture, Manager,Hong Kong,"30 August 2020
""Poor company culture""
2.0
★★★★★
Former Employee ",full-time,,0,Stability is the only pros,"Bureaucratic, employ too many problem staff",,2.0,4.0,1.0,,1.0,4.0,1.0,Doesn't Recommend,Negative Outlook,Disapproves of CEO,,,
0,0,0,13 August 2020,09:42:35,HKMA Placement, HKMA Placement,Hong Kong,"13 August 2020
""HKMA Placement""
4.0
★★★★★
Current Employee ",full-time,,0,Good reputation and good prospect,it is heard that there is no return offer,,4.0,,,,,,,,,,,,
0,0,0,30 August 2020,21:34:48,Poor management culture, Manager,,"30 August 2020
""Poor management culture""
1.0
★★★★★
Former Employee ",full-time,,0,Stability is the main reason,"Extremely poor management culture, bureaucratic",,1.0,5.0,1.0,,2.0,4.0,1.0,Doesn't Recommend,Negative Outlook,,,,
0,0,0,23 July 2020,20:30:48,nice place to work, Placement Student,Hong Kong,"23 July 2020
""nice place to work""
5.0
★★★★★
Current Employee ",full-time, less than a year,0,"motivating environment, everyone is trying to create value","a different environment compared to the previous internship, as there are lots of things to catch up",,5.0,4.0,5.0,,3.0,2.0,5.0,Recommends,Neutral Outlook,No Opinion of CEO,,,
0,0,0,16 July 2020,01:00:40,Bank Regulator in Hong Kong., Manager,Hong Kong,"16 July 2020
""Bank Regulator in Hong Kong.""
5.0
★★★★★
Current Employee ",full-time,,0,Exposure in banking services and investment services,Focus on supervision and regulation but less focus on frontline and operation of banks.,,5.0,4.0,4.0,,4.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO,,,
0,0,0,29 May 2020,05:40:17,A, Manager,Hong Kong,"29 May 2020
""A""
4.0
★★★★★
Former Employee ",full-time, more than 10 years,0,No need to OT. Work life balance.,Not much new things to learn,,4.0,5.0,3.0,,3.0,3.0,3.0,Recommends,Positive Outlook,No Opinion of CEO,,,
0,0,0,30 January 2020,07:53:48,Average working experience, Consulting Senior Software Engineer,,"30 January 2020
""Average working experience""
3.0
★★★★★
Former Employee ",part-time,,0,"Easy interview, light workload, can leave on time","Not much to learn, need to recite a 45-minute script",,3.0,,,,,,,,,,,,
0,0,1,12 January 2020,02:10:59,Quiet working space,,,"12 January 2020
""Quiet working space""
4.0
★★★★★
Current Employee ",full-time,,0,"-People are nice
-Extraordinary view as you will be working at 77-84 floors","-Boring, there aren't many tasks for me to complete as interns will only stay for 1.5 months",,4.0,5.0,4.0,,4.0,5.0,5.0,Recommends,Neutral Outlook,No Opinion of CEO,,,
0,0,1,17 December 2019,03:33:37,Research position,,,"17 December 2019
""Research position""
4.0
★★★★★
Current Employee ",full-time,,0,"Stable job, low pressure, and easy tasks",Lack of career development and promotion opportunities,,4.0,5.0,4.0,,1.0,4.0,3.0,Recommends,Neutral Outlook,,,,
0,0,1,18 November 2019,19:48:19,Classic hierarchy structure. Do not expect too much if you are in the lowest rank of a team,,,"18 November 2019
""Classic hierarchy structure. Do not expect too much if you are in the lowest rank of a team""
3.0
★★★★★
Former Employee ",full-time,,0,N/A would be my response,"Classic hierarchy structure.
Given your rank, everything is ""confidential"" to you. You will be assigned tasks but you cannot ask into detail about the tasks.
Given your rank, nobody cares if you do the tasks well.",,3.0,3.0,1.0,,1.0,2.0,3.0,Doesn't Recommend,Neutral Outlook,No Opinion of CEO,,,
0,0,1,28 October 2019,05:53:08,"An easy, fun job for undergraduates",,Hong Kong,"28 October 2019
""An easy, fun job for undergraduates""
4.0
★★★★★
Current Employee ",part-time, less than a year,0,"The tasks aren't that difficult, basically you have to introduce HKMA to visitors and some filing work. The working culture isn't too stressful and there is a recreational day for all workers to relieve stress after a month of work.","There is not much to learn as a student ambassador, the job may not be suitable for students who would like to know how to work in a government office.",,4.0,4.0,4.0,,3.0,3.0,4.0,Recommends,Neutral Outlook,No Opinion of CEO,,,
0,0,0,28 September 2019,09:24:37,Attractive salary, Officer,,"28 September 2019
""Attractive salary""
4.0
★★★★★
Current Employee ",full-time, more than a year,0,"Above average salary, not much OT, stable job.","Not much promotion opportunity, repetitive routine job.",,4.0,5.0,3.0,,3.0,4.0,4.0,,,,,,
0,0,1,8 August 2019,08:42:57,Average,,,"8 August 2019
""Average""
4.0
★★★★★
Former Employee ",full-time, more than 3 years,0,"Stable, nice office and professional","Bureaucratic, not much work life balance",,4.0,2.0,2.0,,3.0,3.0,3.0,Doesn't Recommend,Neutral Outlook,No Opinion of CEO,,,
0,0,0,14 August 2019,06:25:39,Clerk, Clerk,Hong Kong,"14 August 2019
""Clerk""
3.0
★★★★★
Current Employee ",full-time, more than a year,0,"in these two years, I have learned many things","working as contract staff, no career path",,3.0,4.0,3.0,,1.0,2.0,4.0,,,,,,
0,0,1,23 April 2019,10:20:09,Manager,,,"23 April 2019
""Manager""
4.0
★★★★★
Current Employee ",full-time,,0,Can achieve good work life balance,"Typical government style, hard to adopt",,4.0,5.0,3.0,,3.0,4.0,3.0,,,,,,
0,0,1,10 April 2019,22:30:46,Student Ambassador,,Hong Kong,"10 April 2019
""Student Ambassador""
4.0
★★★★★
Former Employee ",part-time, less than a year,0,The brand name is pretty good I would say but not very helpful in job searching.,"The duties are tedious and you have to memorize a 45 min script for offering guided tours to the visitors, hard work and effort needed which is pretty unparalleled with the salary.","Increase the hourly pay from $55/hr, it's pretty low, to be honest.",4.0,5.0,4.0,,1.0,1.0,4.0,Doesn't Recommend,,,,,
0,0,1,24 March 2019,20:46:00,Manager,,,"24 March 2019
""Manager""
3.0
★★★★★
Current Employee ",full-time,,0,Work location. High stability. Reasonable workload.,Corporate culture. Promotion opportunities.,,3.0,,,,,,,,,,,,
0,0,1,31 January 2019,07:15:36,Analyst Programmer,,,"31 January 2019
""Analyst Programmer""
4.0
★★★★★
Former Employee ",full-time,,0,good environment and stable job,too much procedures and not having good efficiency,,4.0,,,,,,,,,,,,
0,0,1,11 January 2019,06:39:53,Analyst Programmer,,,"11 January 2019
""Analyst Programmer""
2.0
★★★★★
Former Employee ",full-time,,0,Paid well. Good work life balance,Very boring routine job. Bad if you want career advancement,,2.0,5.0,2.0,,2.0,3.0,2.0,Doesn't Recommend,Neutral Outlook,No Opinion of CEO,,,
0,0,1,5 September 2018,17:31:18,Manager,,,"5 September 2018
""Manager""
3.0
★★★★★
Former Employee ",full-time,,0,Stability. That is about it.,Bland. And many others.,,3.0,4.0,1.0,,1.0,4.0,1.0,Doesn't Recommend,Neutral Outlook,,,,
0,0,1,20 August 2018,18:40:08,Technical Officer,,,"20 August 2018
""Technical Officer""
3.0
★★★★★
Former Employee ",full-time,,0,"Stable place to work, off work on time",Less annual leave than other banks,,3.0,3.0,3.0,,3.0,3.0,3.0,,,,,,
0,0,1,5 July 2018,02:27:02,Officer,,,"5 July 2018
""Officer""
4.0
★★★★★
Former Employee ",full-time,,0,"Stable, overall good package when comparing with the market",relationship is more important than your ability,,4.0,4.0,4.0,,3.0,4.0,3.0,Recommends,Neutral Outlook,,,,
0,0,0,13 June 2018,21:32:56,intern,,,,, less than a year,0,"cozy working environment, grand office, good brand name",as an intern there may not be many new things to learn,,4.0,4.0,4.0,,5.0,5.0,4.0,Recommends,Positive Outlook,,,,
0,0,1,7 June 2018,06:26:23,Good place to retire,,,"7 June 2018
""Good place to retire""
3.0
★★★★★
Current Employee ",full-time,,0,Workload is very small. You can sit whole day without doing anything.,Not much opportunity to advance.,,3.0,5.0,2.0,,1.0,2.0,3.0,Recommends,Neutral Outlook,,,,
0,0,1,12 April 2018,20:36:28,Analyst programmer (1-year student placement),,,,full-time,,1,"A lot of involvement in projects.
Many staff activities.
Friendly colleagues.","Repetitive work.
Ineffective communications between managers and departments.",,4.0,4.0,3.0,,4.0,5.0,1.0,Recommends,Positive Outlook,,,,
