featured,covid-19,anonymous,date,time,headline,role,location,status,contract,years,helpful,pros,cons,advice_to_mgmt,main_rating,work_life_balance,culture_and_values,diversity_inclusion,career_opportunities,comp_and_benefits,senior_management,recommends,outlook,CEO_approval,response_date,response_role,response
0,0,0,11 January 2021,17:49:39,Excellent Staff Care, Instructor,Hong Kong,"11 January 2021
""Excellent Staff Care""
5.0
★★★★★
Current Employee ",full-time, more than 5 years,0,Reasonable salary for my position,No housing allowance for junior staff,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO,,,
0,0,0,11 January 2021,00:47:34,Research Assistant is a good work, Research Assistant,Hong Kong,"11 January 2021
""Research Assistant is a good work""
5.0
★★★★★
Former Employee ",full-time, less than a year,0,"Interactive work, diverse environment, and nice staff.",Funding is kinda low for RA.,,5.0,3.0,5.0,,4.0,2.0,5.0,Recommends,Neutral Outlook,,,,
0,0,0,7 January 2021,06:07:36,Student Assistant, Student Assistant,Hong Kong,"7 January 2021
""Student Assistant""
4.0
★★★★★
Former Employee ",part-time,,0,Reasonable salary without much stress,"Not really
Quite boring and monotonous",,4.0,,,,,,,,,,,,
0,0,0,27 December 2020,07:04:33,Not recommend research admin post, Research Administrative Assistant,Hong Kong,"27 December 2020
""Not recommend research admin post""
3.0
★★★★★
Current Employee ",full-time, more than a year,0,"Good medical benefit 
Cheap meal in the school canteen","Low promotion opportunity
Low salary in research post",,3.0,3.0,4.0,4.0,3.0,3.0,3.0,Doesn't Recommend,Neutral Outlook,Disapproves of CEO,,,
0,0,0,12 December 2020,01:37:40,A good company, Student Assistant,"Hung Hom, Kowloon City","12 December 2020
""A good company""
5.0
★★★★★
Current Employee ",part-time,,0,co-worker are nice and the salary is acceptable,no downside to mention so far,,5.0,,,,,,,,,,,,
0,0,0,6 December 2020,17:20:59,It is acceptable. But make sure matching the research field, Research Associate,Hong Kong,"6 December 2020
""It is acceptable. But make sure matching the research field""
4.0
★★★★★
Former Employee ",full-time,,0,The working place is nice and clean,Feeling alone if you work independently,,4.0,2.0,3.0,2.0,4.0,4.0,3.0,Doesn't Recommend,Neutral Outlook,No Opinion of CEO,,,
0,0,0,16 December 2020,22:44:57,Depends on the department, Manager,Hong Kong,"16 December 2020
""Depends on the department""
3.0
★★★★★
Former Employee ",full-time, more than a year,0,good location; nice environment; convenient,no opportunities for the promotion,,3.0,1.0,3.0,,2.0,3.0,1.0,Recommends,Neutral Outlook,,,,
0,0,1,29 November 2020,07:14:58,good,,,"29 November 2020
""good""
4.0
★★★★★
Former Employee ",full-time,,0,It is a stable and good environment,It is boring and not a good career path unless u got a PHD,,4.0,,,,,,,,,,,,
0,0,0,28 November 2020,09:45:39,Give it a try, Research Assistant,Hong Kong,"28 November 2020
""Give it a try""
5.0
★★★★★
Former Employee ",full-time, more than a year,0,"reasonable workload, close to public traffics","relatively low paid, no many catering choices",,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,No Opinion of CEO,,,
0,0,0,26 November 2020,21:14:28,Research Assistant in Hong Kong, Research Assistant,Hong Kong,"26 November 2020
""Research Assistant in Hong Kong""
5.0
★★★★★
Current Employee ",full-time,,0,Get some research experience before apply for a PhD degree.,I have not found any yet.,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,,,,
0,0,0,16 November 2020,19:50:26,Research Assistant, Research Assistant,Hong Kong,"16 November 2020
""Research Assistant""
4.0
★★★★★
Current Employee ",full-time, less than a year,0,very stable and get off work on time,nothing specific cons at the moments,,4.0,4.0,3.0,3.0,3.0,3.0,3.0,,,,,,
0,0,0,1 December 2020,03:15:56,Student Life, Student,Hong Kong,"1 December 2020
""Student Life""
2.0
★★★★★
Current Employee ",full-time, more than 3 years,0,"Fun and Interesting, Provide internship while studying","No work-life balance, the workload is too heavy",reduce the workload,2.0,1.0,3.0,2.0,2.0,3.0,2.0,Doesn't Recommend,Neutral Outlook,No Opinion of CEO,,,
