featured,covid-19,anonymous,date,time,headline,role,location,status,contract,years,helpful,pros,cons,advice_to_mgmt,main_rating,work_life_balance,culture_and_values,diversity_inclusion,career_opportunities,comp_and_benefits,senior_management,recommends,outlook,CEO_approval,response_date,response_role,response
0,0,1,3 December 2020,16:38:25,Good,,,"3 December 2020
""Good""
5.0
★★★★★
Former Employee ",part-time,,0,Colleagues were nice to work with,"TBH, no cons for me",,5.0,4.0,3.0,2.0,5.0,4.0,4.0,,,,,,
0,0,0,17 January 2021,05:37:40,horrible senior mamagement, Consultant,Hong Kong,"17 January 2021
""horrible senior mamagement""
2.0
★★★★★
Former Employee ",full-time, more than a year,0,"medical, colleagues, building enviroment, charasmatic ED.","Depend on division. my division is horrible. endless workload. management dont want to face problem.
also, horrible pay increment",stop punishing hard workers,2.0,2.0,3.0,3.0,1.0,3.0,1.0,Doesn't Recommend,Positive Outlook,No Opinion of CEO,,,
0,0,0,15 December 2020,07:25:26,Work, Consultant,Hong Kong,"15 December 2020
""Work""
3.0
★★★★★
Current Employee ",full-time,,0,It is challenging in daily work,Getting more and more red tape.,,3.0,,,,3.0,2.0,,,,,,,
0,0,0,18 November 2020,16:39:55,Nil, Assistant Officer,Hong Kong,"18 November 2020
""Nil""
4.0
★★★★★
Current Employee ",full-time, less than a year,0,Very positive to every staff.,Less promotion opportunities in this company,,4.0,4.0,4.0,4.0,3.0,4.0,4.0,,,,,,
0,0,0,30 October 2020,05:15:36,"Not bad for gaining experience, not pretty much preferred for life long vacation", Administrative Officer(IT),Hong Kong,"30 October 2020
""Not bad for gaining experience, not pretty much preferred for life long vacation""
4.0
★★★★★
Current Employee ",full-time, more than a year,0,Stable and less likely to over time working for admin staff,"Boring, quite stubborn upon procedures or policies",,4.0,4.0,3.0,4.0,3.0,4.0,3.0,Recommends,Neutral Outlook,Approves of CEO,,,
0,0,0,1 November 2020,06:01:28,Technical Officer, Technical Officer,"Kwun Tong, Kowloon City","1 November 2020
""Technical Officer""
3.0
★★★★★
Former Employee ",full-time, more than a year,0,high salary with good benefits,boring working environment and culture,,3.0,3.0,2.0,2.0,2.0,4.0,2.0,Doesn't Recommend,Neutral Outlook,No Opinion of CEO,,,
0,0,0,11 October 2020,23:18:56,just ok la, Postdoctoral Researcher,"Kowloon City, Kowloon City","11 October 2020
""just ok la""
5.0
★★★★★
Current Employee ",full-time,,0,good location and not very busy,good for fresh man and can learn something from senior,,5.0,5.0,2.0,2.0,4.0,4.0,4.0,,,,,,
0,0,0,22 September 2020,22:25:50,So far so good, Consultant,"Kowloon Tong, Kowloon City","22 September 2020
""So far so good""
3.0
★★★★★
Former Employee ",full-time, more than 8 years,0,Learn how to become an intrepreneur,The policy changes from time to time.,,3.0,3.0,2.0,,3.0,4.0,2.0,Recommends,Neutral Outlook,No Opinion of CEO,,,
0,0,0,22 September 2020,22:35:23,Not Bod, Consultant,"Kowloon Tong, Kowloon City","22 September 2020
""Not Bod""
3.0
★★★★★
Former Employee ",full-time, more than 8 years,0,Learn how to work independent,The policy changes from time to time.,,3.0,3.0,2.0,,3.0,4.0,3.0,Recommends,Neutral Outlook,No Opinion of CEO,,,
0,0,0,12 October 2020,01:35:20,Poor Leadership, Senior Consultant,Hong Kong,"12 October 2020
""Poor Leadership""
1.0
★★★★★
Former Employee ",full-time, more than 3 years,0,"Good working location, with government subvention","Unprofessional management, not capable to keep commitment to clients.",speechless,1.0,2.0,2.0,4.0,2.0,3.0,1.0,Doesn't Recommend,Negative Outlook,No Opinion of CEO,,,
