featured,covid-19,anonymous,date,time,headline,role,location,status,contract,years,helpful,pros,cons,advice_to_mgmt,main_rating,work_life_balance,culture_and_values,diversity_inclusion,career_opportunities,comp_and_benefits,senior_management,recommends,outlook,CEO_approval,response_date,response_role,response
0,0,0,8 January 2021,01:27:05,Great Research University, Student,Hong Kong,"8 January 2021
""Great Research University""
5.0
★★★★★
Current Employee ",full-time,,0,Access to great professors and research resources,Sometimes overwhelmed with stress and huge workloads,,5.0,,,,,,,,,,,,
0,0,0,6 January 2021,20:59:31,Great place, Teaching Assistant,,"6 January 2021
""Great place""
5.0
★★★★★
Current Employee ",part-time,,0,"Good sea view, good students","small place, still very young",,5.0,5.0,5.0,,5.0,5.0,5.0,,,,,,
0,0,0,5 January 2021,02:53:24,Studnet Assistant, Studnet Assistant,,"5 January 2021
""Studnet Assistant""
5.0
★★★★★
Current Employee ",part-time, more than a year,0,"Simple workload
easy tasks
short working hours","too far
too competitive
only can work for 10 hrs each week",,5.0,5.0,4.0,2.0,5.0,3.0,2.0,Recommends,Positive Outlook,Approves of CEO,,,
0,0,0,3 January 2021,07:54:40,Good U, Student,Hong Kong,"3 January 2021
""Good U""
5.0
★★★★★
Current Employee ",full-time,,0,"nice working environment, good prof.",workload and the pressure is high,,5.0,3.0,4.0,3.0,5.0,4.0,4.0,Recommends,Positive Outlook,,,,
0,0,0,1 January 2021,18:40:46,Undergraduate research assistant on a part-time basis, Undergraduate Research Assistant,Hong Kong,,part-time,,0,gain some research experience and get preparation for future study,"overall is great, sometimes the workload is heavy",,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO,,,
0,0,0,2 January 2021,01:37:58,Student Helper, Student Helper,Hong Kong,"2 January 2021
""Student Helper""
5.0
★★★★★
Former Employee ",part-time,,0,Administrative working experience gaining and competitive payment,The working experience is fairly good with simple task and low workload,,5.0,3.0,3.0,3.0,3.0,3.0,3.0,Recommends,Neutral Outlook,No Opinion of CEO,,,
0,0,0,10 January 2021,08:59:27,Stable, Assistant Manager,Hong Kong,"10 January 2021
""Stable""
4.0
★★★★★
Current Employee ",full-time, more than 3 years,0,Stable. The campus is nice,Not much career advancement. Hierarchy,,4.0,,,,,,,,,,,,
0,0,0,11 January 2021,00:31:31,full time PhD," Researcher, PhD candidate",Hong Kong,"11 January 2021
""full time PhD""
3.0
★★★★★
Current Employee ",full-time,,0,"quite free, not much disturbance.","pay low, most courses too slow.",,3.0,,,,,,,,,,,,
0,0,0,12 December 2020,02:09:44,Good quality job, Research Assistant,Hong Kong,"12 December 2020
""Good quality job""
5.0
★★★★★
Current Employee ",full-time, more than a year,0,"good benefitaries incl. insurance, health care n dental care",low promotion of career path,,5.0,5.0,3.0,3.0,3.0,4.0,2.0,Recommends,,Approves of CEO,,,
0,0,0,27 December 2020,01:24:09,Don't believe their marketing, PhD Student,Clear Water Bay,"27 December 2020
""Don't believe their marketing""
2.0
★★★★★
Current Employee ",full-time, more than a year,0,"Interesting projects, good facilities, well connected faculty.","Horrible administration, quantity over quality of research. They count mainland students as international to make themselves look more diverse. Very little support for students.",,2.0,,,,,,,,,,,,
