featured,covid-19,anonymous,date,time,headline,role,location,status,contract,years,helpful,pros,cons,advice_to_mgmt,main_rating,work_life_balance,culture_and_values,diversity_inclusion,career_opportunities,comp_and_benefits,senior_management,recommends,outlook,CEO_approval,response_date,response_role,response
0,0,0,18 January 2021,06:23:31,Good pay, Research Assistant,Tai Po,"18 January 2021
""Good pay""
5.0
★★★★★
Former Employee ",full-time, more than a year,0,Flexible working hours and good pay,Unstable working environment and unclear career path,,5.0,5.0,5.0,5.0,3.0,5.0,5.0,,,,,,
0,0,0,20 January 2021,05:04:27,Supporting boss, Research Assistant,Tai Po,"20 January 2021
""Supporting boss""
4.0
★★★★★
Current Employee ",full-time,,0,flexible scheudle and working style,demanding sometimes when school opens (for data collection),,4.0,2.0,5.0,5.0,3.0,2.0,4.0,,,,,,
0,0,0,21 December 2020,01:52:41,Good starting platform for fresh graduates, Research Assistant,Tai Po,"21 December 2020
""Good starting platform for fresh graduates""
5.0
★★★★★
Former Employee ",full-time, more than a year,0,"Friendly and Helper Colleagues,
Good increase of salary based on performance","Location : a bit far away
Not mu",,5.0,4.0,4.0,5.0,4.0,5.0,4.0,Recommends,,,,,
0,0,0,20 December 2020,06:08:41,Administrate and executive position, Executive Assistant,Hong Kong,"20 December 2020
""Administrate and executive position""
4.0
★★★★★
Current Employee ",full-time,,0,Good environment and nice colleagues,Relatively remote location and not much restaurant choices,,4.0,,,,,,,,,,,,
0,0,0,30 November 2020,21:19:05,Good HR policy (good pay and benefits compared to other universities I have worked for), Project Officer,Tai Po,"30 November 2020
""Good HR policy (good pay and benefits compared to other universities I have worked for)""
4.0
★★★★★
Current Employee ",full-time,,0,"Good salary
Good fringe benefits
Good environment (near nature, lots of greenery)
Good HR policy
Good sporting facilities","Needs to take a shuttle/KMB bus from MTR
longer than average commuting time",,4.0,3.0,4.0,4.0,4.0,5.0,3.0,Recommends,Positive Outlook,No Opinion of CEO,,,
0,0,1,30 November 2020,13:37:19,Associate Professor,,,"30 November 2020
""Associate Professor""
5.0
★★★★★
Current Employee ",full-time,,0,the overall corporate culture is friendly,inconvenient transportation and lack of influence leader,,5.0,,,,,,,,,,,,
0,0,0,22 November 2020,21:19:19,Research Assistant, Research Assistant,Tai Po,"22 November 2020
""Research Assistant""
4.0
★★★★★
Current Employee ",full-time,,0,Nothing to do(depends to supervisor),Quite boring to work here,,4.0,,,,,,,,,,,,
0,0,0,17 November 2020,22:27:57,good, Executive Assistant,Hong Kong,"17 November 2020
""good""
5.0
★★★★★
Current Employee ",full-time,,0,They are good in service,Nothing need to be complainted,,5.0,,,,,,,,,,,,
0,0,0,15 November 2020,07:12:07,Great colleagues and working space, Research Assistant,Tai Po,"15 November 2020
""Great colleagues and working space""
4.0
★★★★★
Former Employee ",full-time, more than a year,0,"Great colleagues to work with and with individual working desks, and able to have a work-life balance.",location of Tai Po campus is far and not convenient. Difficult to get to.,,4.0,3.0,4.0,5.0,3.0,2.0,2.0,Recommends,Positive Outlook,No Opinion of CEO,,,
0,0,0,7 November 2020,05:11:48,Good for work life balance, Research Assistant,Tai Po,"7 November 2020
""Good for work life balance""
4.0
★★★★★
Former Employee ",full-time, more than a year,0,No need to work overtime,Inconvenient transportation and limited lunch choices,,4.0,5.0,3.0,3.0,3.0,5.0,4.0,Recommends,Neutral Outlook,No Opinion of CEO,,,
0,0,1,16 November 2020,23:57:55,No career path,,,"16 November 2020
""No career path""
2.0
★★★★★
Former Employee ",full-time,,0,Good medical and dental benefits,No career path for employees,,2.0,,,,1.0,3.0,,,,,,,
0,0,0,16 October 2020,16:59:56,Good., Research Assistant,Tai Po,"16 October 2020
""Good.""
5.0
★★★★★
Former Employee ",full-time,,0,Amazing colleagues and boss. Flexible working.,Quite a lot of administrative work,,5.0,5.0,4.0,5.0,5.0,5.0,4.0,,,,,,
0,0,0,22 November 2020,00:08:05,Think twice before your apply, Research Assistant,Hong Kong,"22 November 2020
""Think twice before your apply""
1.0
★★★★★
Current Employee ",part-time,,0,At least you have salary,No many opportunities for talents,,1.0,,,,,,,,,,,,
0,0,0,11 October 2020,06:52:08,Very good, PhD Candidate,Hong Kong,"11 October 2020
""Very good""
5.0
★★★★★
Current Employee ",full-time,,0,"open, friendly, free, organized, good","small, traditional, old style, too much girls",,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO,,,
0,0,0,28 September 2020,18:22:30,., Research Assistant II,Hong Kong,"28 September 2020
"".""
4.0
★★★★★
Current Employee ",full-time,,0,"nice environment and people, quiet","far from town, spend a lot in travel",,4.0,4.0,4.0,,5.0,4.0,4.0,,,,,,
0,0,0,29 September 2020,03:25:53,nice pay and package but boring work, Executive Officer,Tai Po,"29 September 2020
""nice pay and package but boring work""
4.0
★★★★★
Former Employee ",full-time, less than a year,0,"nice pay and package
not too harsh
leave work on time
support from IT and overall supplies","far location needs a shuttle, feels tedious after awhile 
nothing to eat around
bureaucratic environment and repetitive work
people are just there to save themselves, not making things better",,4.0,4.0,3.0,,3.0,4.0,3.0,Doesn't Recommend,Neutral Outlook,Disapproves of CEO,,,
