featured,covid-19,anonymous,date,time,headline,role,location,status,contract,years,helpful,pros,cons,advice_to_mgmt,main_rating,work_life_balance,culture_and_values,diversity_inclusion,career_opportunities,comp_and_benefits,senior_management,recommends,outlook,CEO_approval,response_date,response_role,response
0,0,0,12 January 2021,23:29:05,Civil Engineering Student, Student,Hong Kong,"12 January 2021
""Civil Engineering Student""
5.0
★★★★★
Current Employee ",full-time, more than 3 years,0,It is very famous internationally.,Lack of practical training and have to seek help actively.,Nothing,5.0,3.0,3.0,3.0,3.0,3.0,3.0,Doesn't Recommend,Neutral Outlook,No Opinion of CEO,,,
0,0,0,10 January 2021,18:14:35,nice working environment, Student Research Assistant,Hong Kong,"10 January 2021
""nice working environment""
5.0
★★★★★
Former Employee ",part-time,,0,Nice working atmosphere and environment,Catering service is not good on campus,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Neutral Outlook,No Opinion of CEO,,,
0,0,0,10 January 2021,23:31:46,Fruitful experience, Research Assistant,Hong Kong,"10 January 2021
""Fruitful experience""
5.0
★★★★★
Current Employee ",part-time, less than a year,0,The supervisors are very nice,The salary is quite low,,5.0,5.0,5.0,5.0,3.0,1.0,5.0,Recommends,Neutral Outlook,Approves of CEO,,,
0,0,0,9 January 2021,10:47:25,Salary, Postdoctoral Fellow,Hong Kong,"9 January 2021
""Salary""
5.0
★★★★★
Current Employee ",full-time, more than 3 years,0,It varies case to case.,It depends on person itself,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,,,,
0,0,0,8 January 2021,18:36:44,Objective comment for this position, Post Doc Fellow,Hong Kong,"8 January 2021
""Objective comment for this position""
5.0
★★★★★
Current Employee ",full-time,,0,Flexible for this position without overtime work,Relatively low salary for this position,No specific management for this management yet,5.0,4.0,4.0,4.0,4.0,4.0,4.0,Recommends,Neutral Outlook,No Opinion of CEO,,,
0,0,0,7 January 2021,15:32:40,Research Assistant, Research Assistant,Hong Kong,"7 January 2021
""Research Assistant""
5.0
★★★★★
Current Employee ",full-time,,0,People have high education qualifications,There is basically no cons,,5.0,,,,,,,,,,,,
0,0,0,7 January 2021,22:03:48,A good opportunity for students, Student Research Assistant,Hong Kong,"7 January 2021
""A good opportunity for students""
5.0
★★★★★
Current Employee ",part-time,,0,"Average salary with a reasonable workload. 
Chances to work with professors.",It takes two to three months to receives the salary.,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,,,,
0,0,0,3 January 2021,21:03:18,Great, Legal,Hong Kong,"3 January 2021
""Great""
5.0
★★★★★
Current Employee ",full-time,,0,"Good resources and communication, experts",Do not have comment on cons,,5.0,5.0,4.0,4.0,4.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO,,,
0,0,0,13 January 2021,21:38:41,PDF in HKU, Postdoctoral Fellow,Pok Fu Lam,"13 January 2021
""PDF in HKU""
4.0
★★★★★
Current Employee ",full-time,,0,Flexible working arrangements and good colleagues,Few career advancement opportunities internally.,,4.0,,,,,,,,,,,,
0,0,0,30 December 2020,03:21:48,software, Firmware Engineer,Hong Kong,"30 December 2020
""software""
5.0
★★★★★
Current Employee ",full-time,,0,"good salary, good leader, good team","low working hrs, lack of social life",,5.0,,,,,,,,,,,,
0,0,0,10 January 2021,08:37:53,"There's no money in it, but can contribute to academic prestige and future career if the project is good", Research Assistant,Hong Kong,"10 January 2021
""There's no money in it, but can contribute to academic prestige and future career if the project is good""
4.0
★★★★★
Current Employee ",part-time, less than a year,0,"Flexible Hours, Flexible Work, Easy Going
Usueful for getting Recommendation letters on Master's Applciation","A Non-Negotiable Fixed ""low pay"" by HKU (HK $75 per hour)",,4.0,5.0,3.0,4.0,4.0,3.0,4.0,,,,,,
0,0,0,10 January 2021,19:32:13,part time RA, Research Assistant,Hong Kong,"10 January 2021
""part time RA""
4.0
★★★★★
Former Employee ",part-time,,0,"flexible hours, self directed work, decent hourly pay",hours are not consistent all the time,,4.0,,3.0,4.0,3.0,3.0,4.0,,,,,,
0,0,0,27 December 2020,02:03:02,Free, Research Engineer,,"27 December 2020
""Free""
5.0
★★★★★
Current Employee ",full-time,,0,Flexible working time in the campus.,Low salary compared with industry companies.,,5.0,,,,,,,,,,,,
0,0,0,24 December 2020,10:57:03,Great school, Student,Hong Kong,"24 December 2020
""Great school""
5.0
★★★★★
Former Employee ",full-time,,0,"- many abc student
- great building","- too much mk
- great ocamp culture","dont too red, ok ?",5.0,3.0,5.0,5.0,5.0,5.0,5.0,Recommends,Neutral Outlook,Disapproves of CEO,,,
