,featured,covid-19,anonymous,date,time,headline,role,location,status,contract,years,helpful,pros,cons,advice_to_mgmt,main_rating,work_life_balance,culture_and_values,diversity_inclusion,career_opportunities,comp_and_benefits,senior_management,recommends,outlook,CEO_approval,response_date,response_role,response
0,0,0,0,14 January 2021,02:30:50,engineerjng, Superintendent,Hong Kong,"14 January 2021
""engineerjng""
5.0
★★★★★
Current Employee ",full-time, more than 8 years,0,"good salary, work life balance",work location is too far,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,,,,
1,0,0,0,15 January 2021,05:32:59,good, Officer,,"15 January 2021
""good""
4.0
★★★★★
Current Employee ",full-time,,0,the company is big and stable,too many old seafood and very hierarchal,,4.0,,,,,,,,,,,,
2,0,0,0,21 January 2021,09:52:35,Normal, Senior Officer,Hong Kong,"21 January 2021
""Normal""
3.0
★★★★★
Former Employee ",full-time, less than a year,0,Stable working environment in general,Slow career progression and hard to get promotions unless your boss likes you,,3.0,2.0,3.0,2.0,2.0,4.0,2.0,Recommends,Neutral Outlook,No Opinion of CEO,,,
3,0,0,0,5 January 2021,18:49:07,XXXXX, Human Resources,Hong Kong,"5 January 2021
""XXXXX""
5.0
★★★★★
Former Employee ",full-time,,0,Goo working life and salary,Too far away working place,,5.0,,,,,,,,,,,,
4,0,0,0,5 January 2021,09:13:54,Engineer, Graduate Engineer,Hong Kong,"5 January 2021
""Engineer""
4.0
★★★★★
Current Employee ",full-time,,0,Great opportunity to learn with different projects,Slow pace in increment in salary,,4.0,,,,,,,,,,,,
5,0,0,0,2 January 2021,21:23:13,Supportive culture, Trainee,Hong Kong,"2 January 2021
""Supportive culture""
4.0
★★★★★
Former Employee ",part-time,,0,colleagues are very supportive and caring,"a lot of training, tedious",,4.0,,,,,,,,,,,,
6,0,0,0,28 November 2020,08:14:23,Salary n Benefit, Senior Operations Officer,Hong Kong,"28 November 2020
""Salary n Benefit""
4.0
★★★★★
Current Employee ",full-time,,0,"Medical includes Whole Family, Salary above average among the industry",Relatively Slow in Job Promotion,,4.0,,,,,,,Recommends,Positive Outlook,Approves of CEO,,,
7,0,0,0,17 November 2020,07:46:05,Project engineer, Project Engineer,Hong Kong,"17 November 2020
""Project engineer""
4.0
★★★★★
Current Employee ",full-time, more than a year,0,Balanced work and regular working hours.,Challenging project and require high responsibility.,Na,4.0,4.0,4.0,4.0,4.0,4.0,4.0,Recommends,Neutral Outlook,No Opinion of CEO,,,
8,0,0,0,12 November 2020,00:58:51,rewarding experience, Intern,Hong Kong,"12 November 2020
""rewarding experience""
5.0
★★★★★
Former Employee ",full-time,,0,welcoming office culture with friendly colleagues,not much to say about,,5.0,,,,,,,,,,,,
9,0,0,0,15 October 2020,09:05:56,Overall Good, Project Quantity Surveyor,Chek Lap Kok,"15 October 2020
""Overall Good""
4.0
★★★★★
Current Employee ",full-time,,0,"Reasonable salary and company benefits like annual leaves, medical insurance, etc.",Travel distance could be a problem,,4.0,,,,,,,,,,,,
10,0,0,0,10 October 2020,18:55:09,Noce, Project Manager,Hong Kong,"10 October 2020
""Noce""
5.0
★★★★★
Current Employee ",full-time,,0,"Very nice, good colleagues, environment","Work with different department, many meeting",,5.0,,,,,,,,,,,,
11,0,0,0,13 October 2020,17:44:24,Just another office setting in a remote island., Project Engineer,Hong Kong,"13 October 2020
""Just another office setting in a remote island.""
3.0
★★★★★
Former Employee ",full-time,,0,Unique working environment. Great for aviation fans.,Long way to travel to work.,,3.0,2.0,3.0,2.0,3.0,3.0,2.0,Doesn't Recommend,Negative Outlook,No Opinion of CEO,,,
12,0,0,0,12 October 2020,19:06:19,Stressful environment, Assistant Manager,,"12 October 2020
""Stressful environment""
3.0
★★★★★
Current Employee ",full-time,,0,Stable position with job security,No work life balance in general,Staff is the most important asset,3.0,2.0,2.0,2.0,3.0,3.0,2.0,Doesn't Recommend,Neutral Outlook,Disapproves of CEO,,,
13,0,0,0,4 October 2020,22:59:50,Far working location, Officer,Hong Kong,"4 October 2020
""Far working location""
2.0
★★★★★
Former Employee ",full-time,,0,"Good benefits, nice view from office building","Far working location, insufficient transportation subsidy",,2.0,1.0,1.0,2.0,3.0,4.0,2.0,Doesn't Recommend,Neutral Outlook,No Opinion of CEO,,,
14,0,0,1,27 August 2020,05:42:51,Part time job,,,"27 August 2020
""Part time job""
4.0
★★★★★
Current Employee ",part-time,,0,"Medical plan, annual leave and MPF",Fixed working day per month,,4.0,4.0,3.0,,2.0,4.0,3.0,,,,,,
15,0,0,0,4 September 2020,02:12:51,Good experience in Major project, Project Engineer,,"4 September 2020
""Good experience in Major project""
2.0
★★★★★
Current Employee ",full-time, more than a year,0,"Huge Company, Well known, Good Pay","disorganised across departments, long commute to work",,2.0,1.0,2.0,,4.0,4.0,2.0,Doesn't Recommend,Neutral Outlook,No Opinion of CEO,,,
16,0,0,0,6 July 2020,10:24:04,I worked here for one year, Engineer,Hong Kong,"6 July 2020
""I worked here for one year""
3.0
★★★★★
Current Employee ",full-time,,0,High salary nice office and staff,Longn travel time contract basis stressful,,3.0,3.0,3.0,,3.0,3.0,3.0,Doesn't Recommend,Neutral Outlook,No Opinion of CEO,,,
17,0,0,0,11 April 2020,03:00:25,Great company, Operation Officer,Hong Kong,"11 April 2020
""Great company""
5.0
★★★★★
Current Employee ",full-time,,0,It provides comprehensive benefits for employees,"Far from city, long travelling time",,5.0,,,,,,,,,,,,
18,0,0,1,24 March 2020,17:46:21,Stable yet challenging,,,"24 March 2020
""Stable yet challenging""
4.0
★★★★★
Current Employee ",full-time,,0,Stable in terms of job security,Long hours needed when facing challenging tasks,,4.0,,,,,,,,,,,,
19,0,0,0,31 March 2020,23:45:17,Security, Security Officer,Hong Kong,"31 March 2020
""Security""
1.0
★★★★★
Former Employee ",full-time,,0,Flexible hours and low workload,Long commute and it is expensive,,1.0,,,,,,,,,,,,
20,0,0,0,8 March 2020,07:18:39,Poor training scheme for graduate, Project Engineer,,"8 March 2020
""Poor training scheme for graduate""
3.0
★★★★★
Current Employee ",full-time, more than 5 years,0,"Competitive entry salary, work life balance",poor training for engineering graduate and MT,Please have your HR to form a solid programme for MT and Grad E training. And make sure the department heads/leaders understand their roles in training.,3.0,4.0,3.0,,3.0,4.0,3.0,Doesn't Recommend,Neutral Outlook,Disapproves of CEO,,,
21,0,0,1,22 October 2019,05:25:39,the Air-port authority promotion officer,,,,part-time,,0,good networking provided and business experience,a long working hours needed,,4.0,,,,,,,,,,,,
22,0,0,1,29 July 2019,21:10:56,Operation Officer,,,"29 July 2019
""Operation Officer""
3.0
★★★★★
Current Employee ",full-time,,0,the benefits provided by AA is quite good,long working hours to be expected,,3.0,,,,,,,,,,,,
23,0,0,0,22 May 2019,08:59:17,Poor salary and career prospect, Operation Officer,,"22 May 2019
Helpful (1)
""Poor salary and career prospect""
3.0
★★★★★
Current Employee ",full-time, more than a year,1,Good colleague and the work life balance is good,"Poor salary, poor and nonsense HR",Think of you junior staff,3.0,4.0,2.0,,2.0,3.0,1.0,Doesn't Recommend,Negative Outlook,Approves of CEO,,,
24,0,0,0,18 May 2019,22:14:39,Good experience but salary too low," Operations Officer, Baggage Handling",Chek Lap Kok,"18 May 2019
Helpful (1)
""Good experience but salary too low""
3.0
★★★★★
Current Employee ",full-time, more than a year,1,Easy to work since we strictly follow the working procedure,Salary too low even lower than the contractors' staff,Shall review the officers' salary more instead of their own bonus,3.0,4.0,3.0,,3.0,2.0,1.0,Doesn't Recommend,Neutral Outlook,No Opinion of CEO,,,
25,0,0,0,18 December 2018,01:00:11,Graduate Engineer,,,,,,0,Shopping Discount in the Airport,Poor career prospect and salary,,4.0,4.0,2.0,,1.0,2.0,3.0,Doesn't Recommend,Neutral Outlook,No Opinion of CEO,,,
26,0,0,0,19 July 2018,19:17:13,A busy Airport, Manager,,"19 July 2018
Helpful (1)
""A busy Airport""
3.0
★★★★★
Current Employee ",full-time, more than 8 years,1,The Airport is keeping expanding and you can have job security in the coming 10 years,The management style is outdated,,3.0,3.0,3.0,,4.0,3.0,2.0,Recommends,Positive Outlook,,,,
27,0,0,1,23 April 2018,02:06:14,"Questionable ability of management, humiliating HR policy",,Hong Kong,"23 April 2018
Helpful (2)
""Questionable ability of management, humiliating HR policy""
2.0
★★★★★
Current Employee ",full-time, more than a year,2,"Pretty good work life balance for most departments
Great all you want is a stable and not so demanding job","- Sections/ Departments keep pushing responsibility from one to another.

- HR fails to recognize and retain talent, many qualified and experienced OOs and SOOs remain in their positions for years without promotion, while the ability of some Manager level staff are ironically questionable. Promotion not based on ability and experience, but on vacancy and relationship with management.","Restructure your HR team, rethink your human resource strategy.",2.0,4.0,2.0,,1.0,3.0,2.0,Doesn't Recommend,Neutral Outlook,,,,
28,0,0,0,30 January 2018,23:06:45,CLP Intern,,,,,,0,"Big family, good working hours, happy working. The dept doesnt treat you as an intern merely, but a full time employee with many opportunities","Peak hour - very busy and the workload is a bit overwhelming for an intern, but it was still alright",,4.0,3.0,4.0,,4.0,3.0,4.0,Recommends,Positive Outlook,No Opinion of CEO,,,
