featured,covid-19,anonymous,date,time,headline,role,location,status,contract,years,helpful,pros,cons,advice_to_mgmt,main_rating,work_life_balance,culture_and_values,diversity_inclusion,career_opportunities,comp_and_benefits,senior_management,recommends,outlook,CEO_approval,response_dateresponse
0,0,1,"March 6, 2017",17:14:41,I'll never work in another company after GitHub,,,Current Employee ,full-time, more than 5 years,6,It's an amazing place to work with lots of opportunity to make an impact and grow. Freedom to define projects and try new things.,"Every company has it's difficulties, but the good far outweighs the bad at GitHub.",,5.0,5.0,5.0,,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO,
0,0,1,"January 30, 2017",16:38:48,A great Place to learn,,,Current Employee ,full-time,,13,"GitHub is a great place to come and explore what it looks means to be apart of something special. There are a ton of great people here who are passionate about what they do. GitHub is more than generous with pay, benefits, flexibility, work/life balance, and they really do care about employee happiness and well being. They have a social impact team that is basically dedicated to saving the world -- which is amazing.","There are a few bad apples that make the experience less than ideal -- but that's been the case at nearly every company I've been to.
If you're not in engineering or the technical side of the house, you're nearly a second class citizen. Engineering doesn't have enough structure, code base is a little outdated on some projects, and their is no clear product vision. Nevertheless, when engineering does put out a new feature or product it's actually an A+ ship. 

Sales is a catch 22. Really strong team members, not enough good managers. Marketing is in the same position as sales. 

Most roles don't have a 2-5 year plan -- meaning, there is no clear path for career growth.","Put out a strong product roadmap and a company vision that we can all rally behind. Also, hire a CTO and CMO that are visionaries. This company is too good to hire average people.",5.0,5.0,5.0,,3.0,5.0,4.0,Recommends,Positive Outlook,Approves of CEO,
0,0,1,"March 13, 2017",15:11:08,Alright company,,,Former Employee ,full-time,,4,Good product and decent culture,Large company and issues with management,,3.0,,,,,,,,,,
0,0,0,"November 14, 2016",15:02:14,Wonderful company working on amazing mission,Product Designer,"San Francisco, CA",,, less than a year,10,"I have never been happier since joining GitHub as a Product Designer. I have had the opportunity to grow the way I want to, work on interesting problems, and balance my work with my life. I have never felt like a company takes such great care of me until GitHub.

I have been able to grow skills in product design as well as engineering workflow here. Product cycle is deeply rooted in the workflows of designers and engineers, the way it should be. Vision is alive and transparent. Easy to have work/life balance due to remote work policy and unlimited vacation. Extra mega perk in 2 conferences per year, expenses covered. Also encourages involvement in social impact and self education, which is huge for me.","Due to large size of organization, may be difficult to gain your footing and learn how to be a GitHubber in the first weeks and months. But have no fear, everyone understands this and is very open to question and I have never lacked support.","Keep doing what you're doing, pushing for forward change, pushing for transparency.",5.0,5.0,5.0,,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO,"November 22, 2016 – People Operations Team"
0,0,1,"October 27, 2016",12:12:47,Great company; terrible managers,,,Current Employee ,full-time,,18,"- Great, really smart people
- Highly innovative
- Remote-friendly culture with flexible workdays
- Great health insurance
- Unlimited vacation (you're highly encouraged to take at least 25 days off)","- Ineffective, inexperienced managers
- Little opportunity for growth
- Deteriorating quality in new hires
- Inconsistent expectations for employees
- High level of favoritism, especially in Sales",Hire better managers!,3.0,5.0,4.0,,3.0,3.0,1.0,Doesn't Recommend,Positive Outlook,Disapproves of CEO,"October 31, 2016 – People Operations Team"
0,0,0,"October 6, 2016",15:31:03,good,,,,,,3,friendly and can learn a lot of things,None as far as I thought,We love the positive words! We hope to continue to exceed your expectations as an employer.,5.0,5.0,5.0,,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO,"October 11, 2016 – People Operations Team"
0,0,0,"September 11, 2016",12:57:01,Still work to do,,,,,,22,"A lot of good people who genuinely care about their work.

The perks and compensation were out of this world.","Any amount of ""unlimited vacation"" was very hard to take, especially given the growth of the org and general lack of planning. Same goes for holidays.

Leadership decisions unclear at best, and shady at worst. Had a hard time understanding why some were let go, and how others had managed to still be there even after not really doing their job.",Please invest in your high performers and take the time to do things right.,3.0,1.0,2.0,,,5.0,2.0,Doesn't Recommend,Positive Outlook,,"September 13, 2016 – People Operations Team"
0,0,0,"August 29, 2016",10:34:29,Best place I have worked, Operations,"Remote, OR",Current Employee ,full-time, more than a year,8,"+ GitHub brand 
+ Remote employees are well supported 
+ Collaborative environment 
+ Strong focus on Social Impact (this is one of those things that makes your proud of your employer)","- for non-developers it can be a challenge learning the GH tool, it is used across company and getting up to speed for people who do not have a strong technical aptitude can take time",continue to be real and care....it feels good to be proud of your employer and feel comfortable talking openly to leadership,5.0,5.0,5.0,,5.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO,"August 31, 2016 – People Operations Team"
0,0,1,"August 18, 2016",15:55:38,Great Place to Work,,,Current Employee ,full-time, more than a year,2,"Culture, Values and opportunity to work in cutting edge projects",Classic start-up issues: reactive mode,,4.0,4.0,5.0,,4.0,3.0,4.0,Recommends,Positive Outlook,,
0,0,1,"November 17, 2015",21:26:50,Smart people & okay package,,"San Francisco, CA",Current Employee ,full-time, less than a year,59,"Managers who really care. People want you to succeed. You're given lots of room to learn and grow. Very friendly coworkers, even in different departments. Generous salaries with lots of in the office perks like snacks, drinks and meals.","Unlimited vacation means 2-3 weeks off per year which appears normal, but you don't get holidays off. There is a company list of holidays which is just for show. At first this was very confusing. You are expected to work on holidays unless you explicitly ask for that day off as one of your vacation days. While there are so many great perks you do end up getting very little PTO at GitHub compared to other companies.","Throw away your list of ""vacation days"" since no one actually gets to take them off. It feels like a ""sham"" in contrast to all the other benefits that are so awesome. In other companies vacation days are like an agreement that no one will work so everyone can enjoy that time. Consider that.",4.0,3.0,3.0,,3.0,5.0,3.0,Recommends,Positive Outlook,,
0,0,1,"January 8, 2016",08:08:05,Shadow Councils Abound,,"San Francisco, CA",Former Employee ,full-time, more than 3 years,169,"The perks; food, snacks, massages, gym, top-shelf alcohol, cigarette breaks, remote first culture, work if you want, vacation at-will.

You can rise from a IP attorney with no business experience to Chief Legal Officer to Chief Administrative Officer to Chief Business Officer in the span of 3 years.","CEO: Wanstrath is essentially an awkward teenager who lucked into co-founding an incredibly viral product but he has had to do essentially zero since 2008, other than running all the best folks and co-founders out of the company. Wanstrath has never had a higher level job than a line engineer at CNET. The typical brogrammer from the midwest Silicon Valley success story. But behind his auspicious ""40-under-40"" award lies an incredibly insecure boy who makes decisions in the wee hours of the night with fellow members of his shadow council. His erratic decision making should be a concern to any employee contemplating this shiny unicorn, decisions agreed upon during office hours are 360'ed overnight by Wanstrath. The question is what is causing this very odd behavior. 

Massive transition at the top, Wanstrath turns on his lieutenants quickly, he is loyal to a handful of ""yes"" people and anyone who would dare question anything is summarily terminated. Employees live in a culture of fear but the pay is at the 95th percentile and folks just accept the sadly deteriorating culture. 

Product: virtually no innovation on this front since inception, Kakul is merely a bureaucrat who blasted out of Wework and did nothing for Flickr. Another dismal hire that will not move the company forward.

Who else is running the show? scary indeed","New Leadership ASAP. 

The company's award winning legal team is most likely sending a slew of takedown notices to Glassdoor to remove this factual and what is my opinion of the shortcomings of the GitHub management team; ""Its General Counsel was recently named 2015's top technology in-house counsel in the United States (GC Magazine; Legal 500) as well as the recipient of The Recorder's inaugural award for innovation in legal services. The company and its very talented staff would be better served if this team did not conduct a witchhunt but instead looked inside and its current shorcomings and make GitHub a great company vs. another flop, I have real doubts the current ""executive"" team is capable of leading.",1.0,5.0,1.0,,1.0,5.0,1.0,Doesn't Recommend,,Disapproves of CEO,
0,0,1,"December 21, 2015",11:38:19,Company with heart. Products that matter. Better decision making process than most companies.,,,Current Employee ,full-time,,8,"Incredibly autonomy
Remote work
Fantastic product and company mission
Things you work on are used by millions
Great benefits and pay
Very strong long term prospects
Leadership who cares about creating great things","Moving away from less management approach and hiring lots of people who are from more traditional businesses and are bringing that perspective. Sadly I think GitHub will become more like a traditional business as time goes by. However, still a fantastic group of people with smart employment policies.",I wish the scaling that is occurring now would be more deliberate from the perspective of the changing culture. The culture is changing based on how fast we are hiring and I don't think much focus is placed on the unintentional change in culture.,5.0,5.0,5.0,,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO,
0,0,0,"October 19, 2015",11:00:03,Sales, Sales,"San Francisco, CA",Current Employee ,full-time, more than a year,8,GitHub has been an extremely open and transparent environment that promotes collaboration and encourages feedback. This is the most positive working enviornment I've experienced that enables employees to find the work-life balance that works for them and supports them.,"I don't really have any big cons to mention - we're growing quickly and we're working together as a company to make sure that we maintain our culture and promote an inclusive and supportive place to work. Employees need to be able to adapt to change, work asychronously, and be able to work with constructive feedback.",,5.0,5.0,5.0,,5.0,5.0,5.0,Recommends,Positive Outlook,,
